# Ps Pf alpha
0.25 0.5 1.9994566585242055
0.25 1.0 1.999795180947033
0.25 1.5 1.9998587964828318
0.25 2.0 1.9998288027498126
0.25 2.5 1.9999189937957595
0.25 3.0 1.9998521685272665
0.25 3.5 1.9998228432417366
0.25 4.0 1.9998052090571656
0.25 4.5 1.9997837583412386
0.25 5.0 1.9998135575062728
0.25 5.5 1.9998077094613218
0.25 6.0 1.9997504516436555
0.25 6.5 1.9997658413979766
0.25 7.0 1.999764915656666
0.25 7.5 1.9997197260172355
0.25 8.0 1.9997514620309569
0.50 0.5 1.9973395574737391
0.50 1.0 1.9997373925163864
0.50 1.5 1.999884199212412
0.50 2.0 1.9999470976575366
0.50 2.5 1.9999314327498905
0.50 3.0 1.9999112159178212
0.50 3.5 1.9999082503726564
0.50 4.0 1.999914280197384
0.50 4.5 1.9999241300083428
0.50 5.0 1.9999031570829933
0.50 5.5 1.9998586358763495
0.50 6.0 1.999863226348588
0.50 6.5 1.999863232475771
0.50 7.0 1.999866359841366
0.50 7.5 1.9998048506169617
0.50 8.0 1.9998413093006582
0.75 0.5 1.8725619623869258
0.75 1.0 1.9991103663546705
0.75 1.5 1.9998090724050477
0.75 2.0 1.999907053504368
0.75 2.5 1.9999483711259844
0.75 3.0 1.999965364411373
0.75 3.5 1.9999485847682128
0.75 4.0 1.9999605111591294
0.75 4.5 1.9999273697429274
0.75 5.0 1.999931462776928
0.75 5.5 1.9999407728827125
0.75 6.0 1.9999006739005099
0.75 6.5 1.9999105875379368
0.75 7.0 1.9998895417050644
0.75 7.5 1.999894740982151
0.75 8.0 1.999884164139665
1.00 0.5 1.9834583627004077
1.00 1.0 1.990785830224502
1.00 1.5 1.9995841798215417
1.00 2.0 1.9999036929705674
1.00 2.5 1.9999290087734967
1.00 3.0 1.9999570345235498
1.00 3.5 1.999962304211976
1.00 4.0 1.9999658981831139
1.00 4.5 1.999993485402576
1.00 5.0 1.9999594441153505
1.00 5.5 1.9999722345797029
1.00 6.0 1.9999604959052155
1.00 6.5 1.9999613953504278
1.00 7.0 1.9999476703693877
1.00 7.5 1.9999536472371098
1.00 8.0 1.9999169467388471
1.25 0.5 1.9951232574375088
1.25 1.0 1.9847009548660999
1.25 1.5 1.998302379548313
1.25 2.0 1.9997201775810616
1.25 2.5 1.999925546049883
1.25 3.0 1.9999577844757417
1.25 3.5 1.999970745799126
1.25 4.0 1.9999756394024324
1.25 4.5 1.999980900026737
1.25 5.0 1.9999819176788385
1.25 5.5 1.9999855727127784
1.25 6.0 1.9999701679708737
1.25 6.5 1.9999843586820671
1.25 7.0 1.9999719637367022
1.25 7.5 1.9999687922765605
1.25 8.0 1.999972899165507
1.50 0.5 1.9973726798734044
1.50 1.0 1.998239434454621
1.50 1.5 1.5576075902781976
1.50 2.0 1.99934544685534
1.50 2.5 1.999851092461556
1.50 3.0 1.999926223640708
1.50 3.5 1.9999780939955933
1.50 4.0 1.9999740305214961
1.50 4.5 1.9999845253282484
1.50 5.0 1.9999882042725785
1.50 5.5 1.999994419931876
1.50 6.0 1.9999897317444861
1.50 6.5 1.9999930268646724
1.50 7.0 1.9999753927057016
1.50 7.5 1.999986204191042
1.50 8.0 1.9999879697683545
1.75 0.5 1.9979602790105184
1.75 1.0 1.9991916038942448
1.75 1.5 1.9976364317855944
1.75 2.0 1.995547673791821
1.75 2.5 1.9996834660230551
1.75 3.0 1.999910732786368
1.75 3.5 1.9999544491862917
1.75 4.0 1.9999802229214814
