# Ps Pf alpha
0.25 0.5 1.999345768096059
0.25 1.0 1.9996359990721577
0.25 1.5 1.9996345816740315
0.25 2.0 1.9997200918721276
0.25 2.5 1.9996782578318812
0.25 3.0 1.999707263365449
0.25 3.5 1.9996788214431345
0.25 4.0 1.999677218651582
0.25 4.5 1.999712776149834
0.25 5.0 1.9996948472664742
0.25 5.5 1.9996412517544793
0.25 6.0 1.9997045512204954
0.25 6.5 1.999674032651263
0.25 7.0 1.999669511205362
0.25 7.5 1.9996974837943278
0.25 8.0 1.9996445495405362
0.50 0.5 1.9979606859718393
0.50 1.0 1.999341264974917
0.50 1.5 1.999507567694952
0.50 2.0 1.999597465608373
0.50 2.5 1.9996069443950264
0.50 3.0 1.999694521656484
0.50 3.5 1.999623701038066
0.50 4.0 1.9996355674919821
0.50 4.5 1.9997086811906504
0.50 5.0 1.9996452886754774
0.50 5.5 1.9996649255320558
0.50 6.0 1.9996526300769113
0.50 6.5 1.9996504427358275
0.50 7.0 1.9997232596043704
0.50 7.5 1.9997002242946207
0.50 8.0 1.9997425283764
0.75 0.5 1.9946468106703814
0.75 1.0 1.998334438846654
0.75 1.5 1.999125335690544
0.75 2.0 1.9993093390577632
0.75 2.5 1.9994439837363438
0.75 3.0 1.9995009655900655
0.75 3.5 1.9995261709941583
0.75 4.0 1.9995920424079336
0.75 4.5 1.9995758360782532
0.75 5.0 1.999629589976353
0.75 5.5 1.999660973656217
0.75 6.0 1.999620332484418
0.75 6.5 1.9996569446040526
0.75 7.0 1.999601717801011
0.75 7.5 1.9996340021192536
0.75 8.0 1.999686464037927
1.00 0.5 1.9880693543993553
1.00 1.0 1.9968189955910016
1.00 1.5 1.998414869264305
1.00 2.0 1.9989508112699517
1.00 2.5 1.999182259467952
1.00 3.0 1.999299964750379
1.00 3.5 1.9993809327412555
1.00 4.0 1.999424560255065
1.00 4.5 1.9994799493630087
1.00 5.0 1.9995174091327697
1.00 5.5 1.999526507855467
