# Ps Pf alpha
0.25 0.5 1.9992511715812475
0.25 1.0 1.9997039621891253
0.25 1.5 1.9997704814013713
0.25 2.0 1.99979002961416
0.25 2.5 1.999801198901387
0.25 3.0 1.999800121440986
0.25 3.5 1.9997482282265282
0.25 4.0 1.9997989186852434
0.25 4.5 1.9997889845495345
0.25 5.0 1.9997823656242872
0.25 5.5 1.9997888812619375
0.25 6.0 1.9998054150462516
0.25 6.5 1.9997666053024485
0.25 7.0 1.9996819182842551
0.25 7.5 1.9997404866509945
0.25 8.0 1.999769320053193
0.50 0.5 1.9933424226555756
0.50 1.0 1.9993342833860483
0.50 1.5 1.9997166775135693
0.50 2.0 1.9998870649122868
0.50 2.5 1.9998729299013402
0.50 3.0 1.9998668972470668
0.50 3.5 1.9998711818274388
0.50 4.0 1.9998731852133722
0.50 4.5 1.9998777391258937
0.50 5.0 1.9998400635728184
0.50 5.5 1.9998434711324036
0.50 6.0 1.9998768013171606
0.50 6.5 1.9998110753467968
0.50 7.0 1.9998135710623415
0.50 7.5 1.9998105209523311
0.50 8.0 1.9998336524032392
0.75 0.5 1.9533642687727528
0.75 1.0 1.9960631337901718
0.75 1.5 1.9994045406462937
0.75 2.0 1.999749353880653
0.75 2.5 1.9998088840281796
0.75 3.0 1.9998573503214383
0.75 3.5 1.9999470121396876
0.75 4.0 1.9999156315878956
0.75 4.5 1.9999092634371523
0.75 5.0 1.9998778579249394
0.75 5.5 1.9998849709415107
0.75 6.0 1.999902487556621
0.75 6.5 1.999886773024636
0.75 7.0 1.9998676766635122
0.75 7.5 1.9998676672245321
0.75 8.0 1.9998758764137858
1.00 0.5 1.9962174303310674
1.00 1.0 1.8944036562658808
1.00 1.5 1.9973180843911513
1.00 2.0 1.9994225392507639
1.00 2.5 1.9997068158524132
1.00 3.0 1.9998387198603567
1.00 3.5 1.9998751201461613
1.00 4.0 1.999883367011282
1.00 4.5 1.9998918884377859
1.00 5.0 1.9999034899586794
1.00 5.5 1.999935120353558
1.00 6.0 1.99990655529191
1.00 6.5 1.9999038115906909
1.00 7.0 1.9999334276918892
1.00 7.5 1.9999329935931378
1.00 8.0 1.9999142578536142
1.25 0.5 1.9982075115308122
1.25 1.0 1.9975889029352074
1.25 1.5 1.2810888553607225
1.25 2.0 1.9978272719357242
1.25 2.5 1.9994224757413694
1.25 3.0 1.999642904932268
1.25 3.5 1.9997768864404362
1.25 4.0 1.999837944554611
1.25 4.5 1.9999030832666869
1.25 5.0 1.9999058070626816
1.25 5.5 1.9999327649144065
1.25 6.0 1.9999227792413465
1.25 6.5 1.999935748410277
1.25 7.0 1.999906469712143
1.25 7.5 1.9999373180650104
1.25 8.0 1.9999274614217446
1.50 0.5 1.9989773636220136
1.50 1.0 1.9992242850686721
1.50 1.5 1.9966299052992955
1.50 2.0 1.9040112013224644
1.50 2.5 1.9978897637357977
1.50 3.0 1.999323280284864
1.50 3.5 1.9996621310747007
1.50 4.0 1.9997822047703917
1.50 4.5 1.9998408986387397
1.50 5.0 1.9998968707640217
1.50 5.5 1.9998702120447913
1.50 6.0 1.9999136394869812
1.50 6.5 1.999936213828406
1.50 7.0 1.9999396525098352
1.50 7.5 1.999978348027678
1.50 8.0 1.9999249551161253
1.75 0.5 1.9992702056059615
1.75 1.0 1.999577778843855
1.75 1.5 1.999247738373714
1.75 2.0 1.9956020466307896
1.75 2.5 1.9535696924235786
1.75 3.0 1.9979877765438792
1.75 3.5 1.999332275289309
1.75 4.0 1.9996098224339178
1.75 4.5 1.9997422029910106
1.75 5.0 1.9998332793212732
1.75 5.5 1.9999104261648986
1.75 6.0 1.9999050660316333
1.75 6.5 1.9998947316817839
1.75 7.0 1.9999176439111508
1.75 7.5 1.9999491053533123
1.75 8.0 1.9999185801378523
2.00 0.5 1.9994375433802771
2.00 1.0 1.9997620185567981
2.00 1.5 1.9996982881999001
2.00 2.0 1.9991365997964488
2.00 2.5 1.994261940761222
2.00 3.0 1.9665171802836972
2.00 3.5 1.9978243978553598
2.00 4.0 1.9992762453415795
2.00 4.5 1.9995883137300339
2.00 5.0 1.9997653283478976
2.00 5.5 1.9998224740741941
2.00 6.0 1.999842727394859
2.00 6.5 1.9998927714912802
2.00 7.0 1.9998854194460083
2.00 7.5 1.9999339836621441
2.00 8.0 1.99993372871261
2.25 0.5 1.9994920249198747
2.25 1.0 1.9998605872500694
2.25 1.5 1.9998047784031512
2.25 2.0 1.9996330265985554
2.25 2.5 1.9990246580494115
2.25 3.0 1.9930074663617134
2.25 3.5 1.9696627412829097
2.25 4.0 1.9977798027698697
2.25 4.5 1.9991184641894082
2.25 5.0 1.9995478100487187
2.25 5.5 1.9997305491233885
2.25 6.0 1.9997998667400259
2.25 6.5 1.9998458389611833
2.25 7.0 1.999881546824086
2.25 7.5 1.9999040364872378
2.25 8.0 1.9999339154216
2.50 0.5 1.9995642874078852
2.50 1.0 1.9998662593479146
2.50 1.5 1.9998681396720215
2.50 2.0 1.9998630722266992
2.50 2.5 1.999608621352146
2.50 3.0 1.9989191526562464
2.50 3.5 1.9918430254057449
2.50 4.0 1.9675630274871982
2.50 4.5 1.9976188270188773
2.50 5.0 1.9990734620440802
2.50 5.5 1.9994696710239188
2.50 6.0 1.9997455583475325
2.50 6.5 1.9997698798686265
2.50 7.0 1.9998280754357372
2.50 7.5 1.9998763671237378
2.50 8.0 1.9998853500501765
2.75 0.5 1.999609403612612
2.75 1.0 1.9999309878616789
2.75 1.5 1.999938307503075
2.75 2.0 1.9998719067400683
2.75 2.5 1.9998017090180709
2.75 3.0 1.9995758759059699
2.75 3.5 1.9987637518532941
2.75 4.0 1.9916331595243317
2.75 4.5 1.9594758247568225
2.75 5.0 1.997225895399344
2.75 5.5 1.9990039202454122
2.75 6.0 1.9994310836700104
2.75 6.5 1.9996366036006836
2.75 7.0 1.9997294050036418
2.75 7.5 1.999824009031951
2.75 8.0 1.9998471025786215
3.00 0.5 1.9995786413365675
3.00 1.0 1.9999506070556967
3.00 1.5 1.9999629540007766
3.00 2.0 1.9999527705480316
3.00 2.5 1.9999003023419553
3.00 3.0 1.9997626761949392
3.00 3.5 1.999578874145743
3.00 4.0 1.9987534848923507
3.00 4.5 1.9916062486019968
3.00 5.0 1.9471885724916096
3.00 5.5 1.996734135302079
3.00 6.0 1.9989345972190848
3.00 6.5 1.9994206223496191
3.00 7.0 1.9996112626379858
3.00 7.5 1.9997366090762405
3.00 8.0 1.9998040050413244
3.25 0.5 1.9996799583880924
3.25 1.0 1.9999385233298557
3.25 1.5 1.9999582977677222
3.25 2.0 1.99995837861334
3.25 2.5 1.9999209977132066
3.25 3.0 1.999857916648561
3.25 3.5 1.9998044191852462
3.25 4.0 1.9995828346416713
3.25 4.5 1.9986503920984475
3.25 5.0 1.9922007481220765
3.25 5.5 1.9133415879359934
3.25 6.0 1.9958744319138544
3.25 6.5 1.9986845632677743
3.25 7.0 1.9993188593886662
3.25 7.5 1.999514854782401
3.25 8.0 1.999691785941696
3.50 0.5 1.9997076719487057
3.50 1.0 1.9999650612154032
3.50 1.5 1.999965514393964
3.50 2.0 1.9999669002590694
3.50 2.5 1.9999780555768694
3.50 3.0 1.9999391793664305
3.50 3.5 1.9998908630608407
3.50 4.0 1.9997749781516434
3.50 4.5 1.9995392794116846
3.50 5.0 1.9987633891623293
3.50 5.5 1.9929297744549048
3.50 6.0 1.8227025141791102
3.50 6.5 1.9953593524811533
3.50 7.0 1.9985127856369242
3.50 7.5 1.9992316932533505
3.50 8.0 1.999458233787376
3.75 0.5 1.999654035858114
3.75 1.0 1.999966197234025
3.75 1.5 1.999977876962958
3.75 2.0 1.999979916470027
3.75 2.5 1.9999680542997507
3.75 3.0 1.9999484922839827
3.75 3.5 1.9999405150141762
3.75 4.0 1.9998853790986828
3.75 4.5 1.999791815848579
3.75 5.0 1.9995829960155798
3.75 5.5 1.998657281171475
3.75 6.0 1.9937690525126859
3.75 6.5 1.4813334327594407
3.75 7.0 1.9943358152345152
3.75 7.5 1.9982780693606896
3.75 8.0 1.9991416524249246
4.00 0.5 1.9996352962556023
4.00 1.0 1.9999679226803277
4.00 1.5 1.999983085361006
4.00 2.0 1.999984651937163
4.00 2.5 1.9999765228849424
4.00 3.0 1.9999766748028087
4.00 3.5 1.9999507695635086
4.00 4.0 1.9998980970021014
4.00 4.5 1.9998809797291834
4.00 5.0 1.9997575376929206
4.00 5.5 1.9994602067198985
4.00 6.0 1.9987056413214046
4.00 6.5 1.994582661741904
4.00 7.0 1.2266106880338474
4.00 7.5 1.9920579812358319
4.00 8.0 1.998095174210428
