# Ps Pf alpha
0.25 0.5 1.9986872027175584
0.25 1.0 1.9990770053899851
0.25 1.5 1.999588499182062
0.25 2.0 2.000272035063605
0.25 2.5 2.0006624466524516
0.25 3.0 2.0007123586168682
0.25 3.5 1.9981938575615403
0.25 4.0 2.000955638946689
0.25 4.5 2.00038453620746
0.25 5.0 2.0007773533242625
0.25 5.5 2.001122691398924
0.25 6.0 2.0015562281509354
0.25 6.5 2.0006214570805465
0.25 7.0 1.9973977638455
0.25 7.5 1.9992380628712814
0.25 8.0 2.0011318090660506
0.50 0.5 1.9981749485637341
0.50 1.0 1.9997149369361873
0.50 1.5 1.9990769052955617
0.50 2.0 2.0024740725804575
0.50 2.5 2.001055354610206
0.50 3.0 2.000395314892335
0.50 3.5 2.0004156157002932
0.50 4.0 2.00083021205704
0.50 4.5 2.0008901929517933
0.50 5.0 1.999510100288776
0.50 5.5 2.0002619789237284
0.50 6.0 2.001726366126194
0.50 6.5 1.9994262300251557
0.50 7.0 1.9994309456940207
0.50 7.5 1.9998035381584074
0.50 8.0 2.000549275397945
0.75 0.5 1.9883506092531287
0.75 1.0 1.9920357316127084
0.75 1.5 2.0014396694214107
0.75 2.0 2.0007754107077362
0.75 2.5 1.9992922625150573
0.75 3.0 1.9993304187352807
0.75 3.5 2.0026121709973124
0.75 4.0 2.0008417469414006
0.75 4.5 2.0007913870424896
0.75 5.0 1.9994932277241655
0.75 5.5 2.0000191615619207
0.75 6.0 2.000664630509233
0.75 6.5 2.000131651338768
0.75 7.0 1.9996307316304227
0.75 7.5 1.9995628163588277
0.75 8.0 2.0002521852854214
1.00 0.5 2.001874410413758
1.00 1.0 1.977358834448961
1.00 1.5 1.9968871569127162
1.00 2.0 2.001587382859119
1.00 2.5 1.999760425908492
1.00 3.0 2.0010473233063504
1.00 3.5 2.000357668328004
1.00 4.0 1.9995276528516461
1.00 4.5 1.9996456811075185
1.00 5.0 1.9998297379146843
1.00 5.5 2.0006926463539854
1.00 6.0 1.999673421033016
1.00 6.5 1.9997427679233166
1.00 7.0 2.000919727682157
1.00 7.5 2.000932840411267
1.00 8.0 2.0002243436330343
1.25 0.5 1.9934414745702758
1.25 1.0 2.0040092408834194
1.25 1.5 1.4651183342688707
1.25 2.0 1.9987120477673606
1.25 2.5 2.0015618309978978
1.25 3.0 1.9982721411503923
1.25 3.5 1.9983845913816976
1.25 4.0 1.9991154772972517
1.25 4.5 2.0006091328238935
1.25 5.0 2.0000646831235267
1.25 5.5 2.0004376021020724
1.25 6.0 1.9998868369383498
1.25 6.5 2.000353297892123
1.25 7.0 1.99913242746453
1.25 7.5 2.0002085590515257
1.25 8.0 1.9999742388356168
1.50 0.5 1.9990523488747787
1.50 1.0 1.998326612506738
1.50 1.5 1.9898455484112607
1.50 2.0 1.9743521040902567
1.50 2.5 1.997995648416836
1.50 3.0 1.9996759748103035
1.50 3.5 1.999503522476258
1.50 4.0 2.000242213786307
1.50 4.5 1.9993753053108965
