# Ps Pf mean_bdx
0.25 0.5 0.6272719537610243
0.25 1.0 1.764679620818547
0.25 1.5 3.2097178329909823
0.25 2.0 4.503536283934129
0.25 2.5 6.045985006960745
0.25 3.0 7.396682158978892
0.25 3.5 8.978988242058486
0.25 4.0 10.441234075850357
0.25 4.5 11.522624583749552
0.25 5.0 13.043421517026974
0.25 5.5 15.025223618159767
0.25 6.0 15.872268505802515
0.25 6.5 17.18946839308443
0.25 7.0 18.35710418753196
0.25 7.5 19.93331699028368
0.25 8.0 21.750451253280012
0.50 0.5 0.21854386780918728
0.50 1.0 0.8604686739409659
0.50 1.5 1.8307633400056424
0.50 2.0 2.993752113106863
0.50 2.5 4.375780291802381
0.50 3.0 5.698192487464488
0.50 3.5 7.210072233050415
0.50 4.0 8.6154445723414
0.50 4.5 10.0406813708649
0.50 5.0 11.342870456762812
0.50 5.5 12.730782995734685
0.50 6.0 14.499939892139071
0.50 6.5 15.331485812929488
0.50 7.0 16.905670275653975
0.50 7.5 18.365765362996736
0.50 8.0 19.495631266401524
0.75 0.5 0.050279526431543764
0.75 1.0 0.424091025518498
0.75 1.5 1.0619724433339444
0.75 2.0 1.8913536335363128
0.75 2.5 2.8655131066339035
0.75 3.0 4.048943328811678
0.75 3.5 5.239489045525879
0.75 4.0 6.551485389372531
0.75 4.5 7.904747942402315
0.75 5.0 9.352416205179765
0.75 5.5 10.66820571513367
0.75 6.0 12.21908614715209
0.75 6.5 13.59564798825044
0.75 7.0 14.777747611138574
0.75 7.5 16.30911615934245
0.75 8.0 17.629026570047387
1.00 0.5 -0.067854801587942
1.00 1.0 0.18511587207276778
1.00 1.5 0.6353951538517835
1.00 2.0 1.2256547173152885
1.00 2.5 1.9275911755890827
1.00 3.0 2.7844276853506935
1.00 3.5 3.8307894285353736
1.00 4.0 4.922447407908077
1.00 4.5 6.030780414666003
1.00 5.0 7.154133571132067
1.00 5.5 8.532833006340514
1.00 6.0 9.986675331938068
1.00 6.5 11.213060244542623
1.00 7.0 12.324981982977278
1.00 7.5 13.772257818312847
1.00 8.0 15.278484082464978
1.25 0.5 -0.18371776178792976
1.25 1.0 0.005276378253940799
1.25 1.5 0.33776327113582905
1.25 2.0 0.7784638881759599
1.25 2.5 1.3214054776470554
1.25 3.0 1.9743193422998464
1.25 3.5 2.727705200912426
1.25 4.0 3.5987896636396415
1.25 4.5 4.552714182472303
1.25 5.0 5.56159579173492
1.25 5.5 6.702403154440529
1.25 6.0 7.79437294089036
1.25 6.5 9.067554791847495
1.25 7.0 10.213304428345413
1.25 7.5 11.633581695563302
1.25 8.0 12.852892296870527
1.50 0.5 -0.29295915074145923
1.50 1.0 -0.15893263891128892
1.50 1.5 0.1231844878463876
1.50 2.0 0.46965145644725714
1.50 2.5 0.8963178842757691
1.50 3.0 1.3987018563717373
1.50 3.5 1.9980765425303082
1.50 4.0 2.667016879211532
1.50 4.5 3.4473470446705905
1.50 5.0 4.320050460408109
1.50 5.5 5.178263416577825
1.50 6.0 6.184895873024107
1.50 6.5 7.284847555848793
1.50 7.0 8.384323832342785
1.50 7.5 9.520827171359949
1.50 8.0 10.706038310675918
1.75 0.5 -0.4051474179538913
1.75 1.0 -0.2917797472465389
1.75 1.5 -0.05946167096510173
1.75 2.0 0.2287253757134464
1.75 2.5 0.5771765547910692
1.75 3.0 0.9763747351109313
1.75 3.5 1.455212500778473
1.75 4.0 1.983501771095783
1.75 4.5 2.6186987475105368
1.75 5.0 3.2689746557548145
1.75 5.5 4.030181532588986
1.75 6.0 4.8424598851502125
1.75 6.5 5.795840672778178
1.75 7.0 6.695159072913595
1.75 7.5 7.75163954107509
1.75 8.0 8.785366212650365
2.00 0.5 -0.5005631968077473
2.00 1.0 -0.42494713295291964
2.00 1.5 -0.2146952655811371
2.00 2.0 0.034303102055262116
2.00 2.5 0.3257846992045822
2.00 3.0 0.6638933965427607
2.00 3.5 1.0528826517753627
2.00 4.0 1.4791091796046296
2.00 4.5 1.9936876244111013
2.00 5.0 2.5548186039888474
2.00 5.5 3.171103166878889
2.00 6.0 3.897769259146463
2.00 6.5 4.629873319416048
2.00 7.0 5.448031287760245
2.00 7.5 6.314589705820172
2.00 8.0 7.277638304153925
2.25 0.5 -0.5926389518754717
2.25 1.0 -0.536873482357307
2.25 1.5 -0.3523814839314801
2.25 2.0 -0.12972480135615766
2.25 2.5 0.12476110645335102
2.25 3.0 0.4127948349740816
2.25 3.5 0.7232743127334205
2.25 4.0 1.1048182382488978
2.25 4.5 1.5072335834172694
2.25 5.0 1.9765258159908843
2.25 5.5 2.495240192094622
2.25 6.0 3.071244853342823
2.25 6.5 3.6930058193948843
2.25 7.0 4.371931102435563
2.25 7.5 5.145623850500654
2.25 8.0 5.921038324789058
2.50 0.5 -0.6766391583385901
2.50 1.0 -0.6451310534838559
2.50 1.5 -0.4712062447261129
2.50 2.0 -0.27576306820092367
2.50 2.5 -0.05543763469286476
2.50 3.0 0.19396111145861064
2.50 3.5 0.4769064346164954
2.50 4.0 0.7825106121477927
2.50 4.5 1.125649435600031
2.50 5.0 1.5266428244941221
2.50 5.5 1.9541200572572233
2.50 6.0 2.4343769173390966
2.50 6.5 2.9804527299254366
2.50 7.0 3.5480779419241335
2.50 7.5 4.196636787428585
2.50 8.0 4.851851337258209
2.75 0.5 -0.7699625260313657
2.75 1.0 -0.7397840273859568
2.75 1.5 -0.5800538589223772
2.75 2.0 -0.40105488950927715
2.75 2.5 -0.20147852673131694
