# Ps Pf mean_vx
0.25 0.5 1.0576866779794933
0.25 1.0 2.2360223995278083
0.25 1.5 3.391518709059179
0.25 2.0 4.465983523263632
0.25 2.5 5.50179240412026
0.25 3.0 6.643150485559005
0.25 3.5 7.794481982815499
0.25 4.0 8.848826955271667
0.25 4.5 10.137080284817516
0.25 5.0 11.026892519931325
0.25 5.5 12.15229106628892
0.25 6.0 13.347990304999177
0.25 6.5 14.446632173513391
0.25 7.0 15.551798351559706
0.25 7.5 16.70137227470796
0.25 8.0 17.66736453187812
0.50 0.5 0.4075681903686999
0.50 1.0 0.8983512733864298
0.50 1.5 1.3076824479695555
0.50 2.0 1.7520476072060278
0.50 2.5 2.1904485647213257
0.50 3.0 2.6767394347834172
0.50 3.5 3.157729239482989
0.50 4.0 3.5522184905918373
0.50 4.5 3.9915693150243072
0.50 5.0 4.48213174275453
0.50 5.5 4.9059620503199
0.50 6.0 5.368919942334023
0.50 6.5 5.757966594205174
0.50 7.0 6.238192269185746
0.50 7.5 6.670890543856287
0.50 8.0 7.161252141941254
0.75 0.5 0.260361749693429
0.75 1.0 0.51833971264619
0.75 1.5 0.7623365311369682
0.75 2.0 0.9986326712540924
0.75 2.5 1.2749759584877258
0.75 3.0 1.5009391443415219
0.75 3.5 1.735843833277741
0.75 4.0 1.9882194515088656
0.75 4.5 2.2672943576261337
0.75 5.0 2.50032502367853
0.75 5.5 2.753657000717094
0.75 6.0 3.0141805697435102
0.75 6.5 3.237861615739009
0.75 7.0 3.482632202955696
0.75 7.5 3.772875757803068
0.75 8.0 4.0094521812284745
1.00 0.5 0.16489218084194446
1.00 1.0 0.32644502513378965
1.00 1.5 0.4780181004505387
1.00 2.0 0.665181579313433
1.00 2.5 0.8202945420563118
1.00 3.0 0.9911098302437626
1.00 3.5 1.1411156924742345
1.00 4.0 1.3163241868161923
1.00 4.5 1.4985761313861168
1.00 5.0 1.6375043299907117
1.00 5.5 1.8316904996011625
1.00 6.0 1.986278424070611
1.00 6.5 2.150715201322485
1.00 7.0 2.3074748371216027
1.00 7.5 2.4720045484129822
1.00 8.0 2.5851686176159987
1.25 0.5 0.10241094827589767
1.25 1.0 0.22615796843418545
1.25 1.5 0.36267126563177604
1.25 2.0 0.46059729528248
1.25 2.5 0.5920661912662032
1.25 3.0 0.7126845248713108
1.25 3.5 0.8477883872988313
1.25 4.0 0.9339112093778608
1.25 4.5 1.0639347165220665
1.25 5.0 1.187229702813095
1.25 5.5 1.2940609274126353
1.25 6.0 1.4190175388996074
1.25 6.5 1.5263962166812415
1.25 7.0 1.6565329053245226
1.25 7.5 1.749421105305365
1.25 8.0 1.8985510423615417
1.50 0.5 0.09357566763149842
1.50 1.0 0.18619853263837124
1.50 1.5 0.26119093400599475
1.50 2.0 0.3629100947685611
1.50 2.5 0.447086819564954
1.50 3.0 0.5331353167889054
1.50 3.5 0.6361748107451247
1.50 4.0 0.7269536478354599
1.50 4.5 0.8134895860642618
1.50 5.0 0.8961934962911516
1.50 5.5 0.9948476000680865
1.50 6.0 1.0871279928198523
1.50 6.5 1.1622000049539312
1.50 7.0 1.2667923069263627
1.50 7.5 1.3440533248409146
1.50 8.0 1.4304584523080537
1.75 0.5 0.05803842576773642
1.75 1.0 0.1470516122689301
1.75 1.5 0.20633196654127742
1.75 2.0 0.28516451016594274
1.75 2.5 0.35879240478257335
1.75 3.0 0.4225085401455315
1.75 3.5 0.49306836244076074
1.75 4.0 0.5783924272563855
1.75 4.5 0.6344455400853848
1.75 5.0 0.7155522048381552
1.75 5.5 0.7899602543953795
1.75 6.0 0.8623696699229516
1.75 6.5 0.9132541313426442
1.75 7.0 1.0153816189963127
1.75 7.5 1.0741034202518844
1.75 8.0 1.1505684038834885
2.00 0.5 0.05149154274804748
2.00 1.0 0.10786470043174427
2.00 1.5 0.18056186477457087
2.00 2.0 0.23658900941087876
2.00 2.5 0.29913236903570717
2.00 3.0 0.35094873249054126
2.00 3.5 0.4020897947426634
2.00 4.0 0.4724352343837977
2.00 4.5 0.5233093594942934
2.00 5.0 0.5976942432516866
2.00 5.5 0.6461302171891515
2.00 6.0 0.6922593123201187
2.00 6.5 0.7710020571771257
2.00 7.0 0.8269605704451061
2.00 7.5 0.8749209560901335
2.00 8.0 0.9481217582248886
2.25 0.5 0.06324033327391256
2.25 1.0 0.0953942913237548
2.25 1.5 0.15266952603000938
2.25 2.0 0.1969112991311109
2.25 2.5 0.25631927788793096
2.25 3.0 0.30097855728507367
2.25 3.5 0.3466017490525521
2.25 4.0 0.3996160914933504
2.25 4.5 0.435542222802177
2.25 5.0 0.4854445333042004
2.25 5.5 0.5450181292922329
2.25 6.0 0.6023310617208477
2.25 6.5 0.6568321856162272
2.25 7.0 0.68257472346899
2.25 7.5 0.7557016752904842
2.25 8.0 0.7855232446615943
2.50 0.5 0.03644317270802753
2.50 1.0 0.08405868018287926
2.50 1.5 0.1277392276640707
2.50 2.0 0.16804413823682468
2.50 2.5 0.210894635041787
2.50 3.0 0.2641603668893341
2.50 3.5 0.29036857893990903
2.50 4.0 0.34300225939638995
2.50 4.5 0.38398266884108295
2.50 5.0 0.4166153877981412
2.50 5.5 0.47101562287357385
2.50 6.0 0.5036119168354838
2.50 6.5 0.5428384909652738
2.50 7.0 0.5977830774007906
2.50 7.5 0.6291342190113746
2.50 8.0 0.6740205024919801
2.75 0.5 0.033480027476402024
2.75 1.0 0.08858295075546165
2.75 1.5 0.1042582636738822
2.75 2.0 0.14721848259611894
2.75 2.5 0.1863378755004253
2.75 3.0 0.22500464414059052
2.75 3.5 0.2537411949201514
2.75 4.0 0.2996572554184056
2.75 4.5 0.33554988925767204
2.75 5.0 0.369636362483611
2.75 5.5 0.4120840443635901
2.75 6.0 0.4377399978710253
2.75 6.5 0.4756312829449197
2.75 7.0 0.5195336997996437
2.75 7.5 0.5521356378802185
2.75 8.0 0.5987237047171248
3.00 0.5 0.030141861595198507
3.00 1.0 0.06392688283289971
3.00 1.5 0.10290449701063938
3.00 2.0 0.1259766814976766
3.00 2.5 0.1642411667125445
3.00 3.0 0.19253257875551222
3.00 3.5 0.23408163705878207
3.00 4.0 0.266793062906418
3.00 4.5 0.3008221181038758
3.00 5.0 0.3295404596160687
3.00 5.5 0.3561910086341069
3.00 6.0 0.38953723224562453
3.00 6.5 0.4324430971478172
3.00 7.0 0.4563988377195158
3.00 7.5 0.48713248112657026
3.00 8.0 0.5270093599383443
3.25 0.5 0.030005989033614146
3.25 1.0 0.06112991553055373
3.25 1.5 0.08734597260680184
3.25 2.0 0.11288180376418129
3.25 2.5 0.14291541045961814
3.25 3.0 0.17538547038405966
3.25 3.5 0.20138302223885313
3.25 4.0 0.23139268395269685
3.25 4.5 0.2646183349052983
3.25 5.0 0.28895320836426447
3.25 5.5 0.3208731397451069
3.25 6.0 0.3473125812098031
3.25 6.5 0.3716179861643667
3.25 7.0 0.40079864600118675
3.25 7.5 0.44741916095538525
3.25 8.0 0.4660373758098147
3.50 0.5 0.025505710799821616
3.50 1.0 0.05291867781565762
3.50 1.5 0.06892551143765144
3.50 2.0 0.1064031650429448
3.50 2.5 0.1275947061164264
3.50 3.0 0.16342538779642474
3.50 3.5 0.1839968021307792
3.50 4.0 0.2061050507827575
3.50 4.5 0.23669405783230263
3.50 5.0 0.2581180132092648
3.50 5.5 0.28975622028290765
3.50 6.0 0.3067719195379784
3.50 6.5 0.34348016304652734
3.50 7.0 0.363004087197684
3.50 7.5 0.3920304062428474
3.50 8.0 0.4208338556396537
3.75 0.5 0.021985159722952386
3.75 1.0 0.04547532704225873
