# Ps Pf mean_vx
0.25 0.5 1.1087693242501155
0.25 1.0 2.3794282580354222
0.25 1.5 3.669270616907251
0.25 2.0 5.090961532388838
0.25 2.5 6.421465880638408
0.25 3.0 7.681099759398749
0.25 3.5 9.030919881616786
0.25 4.0 10.435000970280981
0.25 4.5 11.761532138145643
0.25 5.0 13.024151922719918
0.25 5.5 14.315348610664188
0.25 6.0 15.686647129954311
0.25 6.5 17.075989505397327
0.25 7.0 18.382762218004668
0.25 7.5 19.736574105505788
0.25 8.0 20.964379143207598
0.50 0.5 0.22193824368410064
0.50 1.0 0.8366245548772625
0.50 1.5 1.504724201738842
0.50 2.0 2.2064385546929026
0.50 2.5 2.959328751356867
0.50 3.0 3.5515176176357026
0.50 3.5 4.338065238824949
0.50 4.0 4.951928512173323
0.50 4.5 5.584356565986115
0.50 5.0 6.304369256584267
0.50 5.5 6.990842660508447
0.50 6.0 7.530186807471537
0.50 6.5 8.30510530960574
0.50 7.0 8.950645384942588
0.50 7.5 9.54281086050116
0.50 8.0 10.260924478302886
0.75 0.5 -0.08280422769766063
0.75 1.0 0.27584879518509714
0.75 1.5 0.7305648782811537
0.75 2.0 1.241750398943917
0.75 2.5 1.6980244920841416
0.75 3.0 2.2055778035405353
0.75 3.5 2.672785902783973
0.75 4.0 3.1418772262764674
0.75 4.5 3.5648441335436054
0.75 5.0 4.0088908583979075
0.75 5.5 4.49284877827838
0.75 6.0 4.936284973182555
0.75 6.5 5.33839173716176
0.75 7.0 5.820060041271653
0.75 7.5 6.249584015035865
0.75 8.0 6.654751874779151
1.00 0.5 -0.22566528395058602
1.00 1.0 -0.04673701168464546
1.00 1.5 0.3261143077638078
1.00 2.0 0.669344046741709
1.00 2.5 1.0327748399850218
1.00 3.0 1.4255515910804721
1.00 3.5 1.7798247303908858
1.00 4.0 2.163890492436331
1.00 4.5 2.51334068646568
1.00 5.0 2.8737973176058795
1.00 5.5 3.196151998587422
1.00 6.0 3.5636125086785215
1.00 6.5 3.889737074110951
1.00 7.0 4.260493971472711
1.00 7.5 4.574194345656765
1.00 8.0 4.91998360090866
1.25 0.5 -0.31070909140764597
1.25 1.0 -0.2137864788201676
1.25 1.5 -0.009259003950181971
1.25 2.0 0.3129603074404118
1.25 2.5 0.5996558497589135
1.25 3.0 0.9012675783558329
1.25 3.5 1.21565523399613
1.25 4.0 1.5215607666360091
1.25 4.5 1.8191555529047103
1.25 5.0 2.122030231011622
1.25 5.5 2.3961971715437627
1.25 6.0 2.7055523089632674
1.25 6.5 2.990007380083655
1.25 7.0 3.2793270212658543
1.25 7.5 3.544875951232643
1.25 8.0 3.818801528367363
1.50 0.5 -0.36774544090362155
1.50 1.0 -0.3318670295600233
1.50 1.5 -0.17566492943968437
1.50 2.0 0.047028811548075124
1.50 2.5 0.2906344578444477
1.50 3.0 0.5259086759275632
1.50 3.5 0.8029836352576912
1.50 4.0 1.0649611437248159
1.50 4.5 1.3283864111440382
1.50 5.0 1.5772366924871604
1.50 5.5 1.8559838396158088
1.50 6.0 2.0746630093405916
1.50 6.5 2.3493868134160425
1.50 7.0 2.5834135015596416
1.50 7.5 2.8376353535131114
1.50 8.0 3.052067943188655
1.75 0.5 -0.4204823090505476
1.75 1.0 -0.4185003546746926
1.75 1.5 -0.3024639211480392
1.75 2.0 -0.14208149829683347
1.75 2.5 0.06434453428827457
1.75 3.0 0.2604209031011274
1.75 3.5 0.4932568210035154
1.75 4.0 0.712475860346394
1.75 4.5 0.9445411096501871
1.75 5.0 1.1705922238213116
1.75 5.5 1.4240783599046458
1.75 6.0 1.6196149720215887
1.75 6.5 1.8686352920645641
1.75 7.0 2.0765992512628726
1.75 7.5 2.284945325425066
1.75 8.0 2.511108645949283
2.00 0.5 -0.45147359427823636
2.00 1.0 -0.4831252997209609
2.00 1.5 -0.40004687408121004
2.00 2.0 -0.25994405802343684
2.00 2.5 -0.10830305382318205
2.00 3.0 0.06951936821836187
2.00 3.5 0.23978110289672108
2.00 4.0 0.4417758025203547
2.00 4.5 0.647176615908529
2.00 5.0 0.8568796788844302
2.00 5.5 1.0571890957539858
2.00 6.0 1.262548442078852
2.00 6.5 1.4630481153380153
2.00 7.0 1.6644544993710606
2.00 7.5 1.8607654635338156
2.00 8.0 2.0544887217474335
2.25 0.5 -0.48326782144763036
2.25 1.0 -0.5360441493783219
2.25 1.5 -0.4649096967351368
2.25 2.0 -0.3623737704805042
2.25 2.5 -0.22298833655277747
2.25 3.0 -0.0872025041458331
2.25 3.5 0.07155768062688579
2.25 4.0 0.23805647659856405
2.25 4.5 0.40782210743678665
2.25 5.0 0.5798714502387657
2.25 5.5 0.7422675489444828
2.25 6.0 0.9397733998002258
2.25 6.5 1.1344953167151655
2.25 7.0 1.322130750287951
2.25 7.5 1.5078910770865326
2.25 8.0 1.6749524161805613
2.50 0.5 -0.49231530497760856
2.50 1.0 -0.5754785539891835
2.50 1.5 -0.5218140431452218
2.50 2.0 -0.43784307690615504
2.50 2.5 -0.3267366622259672
2.50 3.0 -0.20734325627980418
2.50 3.5 -0.06888434642314455
2.50 4.0 0.06658311969787874
2.50 4.5 0.20011516978291755
2.50 5.0 0.3613129183476144
2.50 5.5 0.5251208409597974
2.50 6.0 0.6870983277239349
2.50 6.5 0.850767108928683
2.50 7.0 1.0217934424834278
2.50 7.5 1.1884026341615228
2.50 8.0 1.3587900719074884
2.75 0.5 -0.5012256961942702
2.75 1.0 -0.5936441165523845
2.75 1.5 -0.567900352301371
2.75 2.0 -0.4890599053881342
2.75 2.5 -0.4020342998548298
2.75 3.0 -0.30260253721321656
2.75 3.5 -0.20040974000421946
2.75 4.0 -0.07872195490420691
2.75 4.5 0.056772289920378013
2.75 5.0 0.18487174363556785
2.75 5.5 0.3252613349490021
2.75 6.0 0.4782101463883243
2.75 6.5 0.6199394096224919
2.75 7.0 0.7749052626975701
2.75 7.5 0.9253579016499561
2.75 8.0 1.0858368694451324
3.00 0.5 -0.5209653679275286
3.00 1.0 -0.6209634436884085
3.00 1.5 -0.588653287831047
3.00 2.0 -0.5230021636228058
3.00 2.5 -0.45333515668074553
3.00 3.0 -0.37535924798190984
3.00 3.5 -0.2823906688964579
3.00 4.0 -0.17003651453036114
3.00 4.5 -0.06838128500874155
3.00 5.0 0.041799884398035524
3.00 5.5 0.1626026399037292
3.00 6.0 0.2923767576039606
3.00 6.5 0.4241776597807055
3.00 7.0 0.5696507517769681
3.00 7.5 0.7084094998580243
3.00 8.0 0.8472428004910758
3.25 0.5 -0.5315285359830325
