lp_w,Pf_Ps,alpha,trap_frac,mean_vx
0.25,0.125,1.1093800582825772,0.11004,0.13533317586114213
0.25,0.25,1.3831267319089666,0.11166,0.047651306668911896
0.25,0.375,1.5781802406123073,0.1101,0.4601108822392784
0.25,0.5,1.6704701238856874,0.11004,0.9617288574685197
0.25,0.625,1.7601930461237945,0.11072,1.0385772711301622
0.25,0.75,1.8212198291799868,0.10866,1.1257753139831514
0.25,0.875,1.8130500980985276,0.10642,1.391892063288796
0.25,1.0,1.8866010672949531,0.10816,1.4046530903572503
0.25,1.125,1.8838555859710049,0.10818,1.7089844371510021
0.25,1.25,1.9163753274423736,0.10378,1.9279598011710983
0.25,1.375,1.9130297324661019,0.1028,2.287358785421005
0.25,1.5,1.9180413313144626,0.10236,2.2836762298394078
0.25,1.625,1.950123475356114,0.10104,2.563154751577693
0.25,1.75,1.9716859676191811,0.09968,2.864539987726025
0.25,1.875,1.9563044153568636,0.10016,3.152669980268799
0.25,2.0,1.9554542325230488,0.0978,3.351821380252694
0.5,0.125,1.1031635917552811,0.19338,0.4022274693953183
0.5,0.25,1.2396148059208507,0.18832,0.5961737330345565
0.5,0.375,1.342316659233136,0.1918,0.403366333143339
0.5,0.5,1.4559716539213974,0.1846,0.9401432659951208
0.5,0.625,1.615521711080892,0.17912,1.5461009297037152
0.5,0.75,1.6558538578309276,0.17884,1.2287709695965499
0.5,0.875,1.7389568069043537,0.1744,1.478912059320641
0.5,1.0,1.7959018919260803,0.16926,1.8833309324929224
0.5,1.125,1.8568658261405946,0.16446,2.400511840553038
0.5,1.25,1.8902184715521555,0.16168,2.5838820655845938
0.5,1.375,1.904278255530801,0.15798,2.9819918763043103
0.5,1.5,1.908323405368138,0.14926,3.5370580715334845
0.5,1.625,1.9393921741502824,0.1486,3.760243583570858
0.5,1.75,1.9502830200942631,0.1409,4.4989531815645645
0.5,1.875,1.952946422572872,0.13964,4.4043586309802345
0.5,2.0,1.9323091628442939,0.13704,5.229642942626441
0.75,0.125,0.9737472536333532,0.24772,0.187940407847101
0.75,0.25,1.016631077511788,0.2441,0.18429819238952824
0.75,0.375,0.9613306352884294,0.24152,-0.0852107850332026
0.75,0.5,1.059557375041627,0.2393,0.5108479232251918
0.75,0.625,1.0518879968588675,0.23004,0.23920672940590962
0.75,0.75,1.361345421513301,0.22322,0.8456689900324331
0.75,0.875,1.5668107916566838,0.2184,0.7860814005530429
0.75,1.0,1.6381096403371065,0.21156,1.6702511409164031
0.75,1.125,1.7589186033636708,0.19776,2.190053885766801
0.75,1.25,1.8412199076483762,0.19608,2.5086541865811998
0.75,1.375,1.8429512861074868,0.18448,3.657808557538485
0.75,1.5,1.9071300899983088,0.17884,4.233541530480973
0.75,1.625,1.9030466843672662,0.16858,5.02363101196206
0.75,1.75,1.9388385648130146,0.16488,5.538157721263181
0.75,1.875,1.9488092258314675,0.16166,6.037371889871203
0.75,2.0,1.9539926063355744,0.15524,6.845119442308241
1.0,0.125,1.121691838180096,0.2856,-0.16058209456201397
1.0,0.25,1.2264591201474497,0.2855,-1.0820000716656737
1.0,0.375,1.305145758313903,0.27542,-0.6104213923183878
1.0,0.5,1.3676202185118345,0.27078,-0.949617522480631
1.0,0.625,1.2075732493241582,0.26002,-0.5986283143849371
1.0,0.75,1.0520328019721932,0.25338,-0.5331683803033019
1.0,0.875,1.0193896858104208,0.2413,0.3035298177858864
1.0,1.0,1.3930344179599252,0.23282,0.7579350240185456
1.0,1.125,1.689392211106889,0.22216,1.4489080649754016
1.0,1.25,1.77417270067281,0.21072,2.408018705950185
1.0,1.375,1.815604518875807,0.20676,3.292295847465332
1.0,1.5,1.8655115477488289,0.19628,4.395135583556314
1.0,1.625,1.9214145581592115,0.1898,5.166161113549963
1.0,1.75,1.949405150563185,0.18506,6.06548281067895
1.0,1.875,1.945429396655551,0.17558,7.362463906252584
1.0,2.0,1.965474713661137,0.17126,8.110478413053814
1.25,0.125,1.2498948570892487,0.31298,-0.6450755609065497
1.25,0.25,1.625736524304736,0.31034,-1.6385504579450847
1.25,0.375,1.7320660515167627,0.30276,-2.1775153728532346
1.25,0.5,1.8092382102543925,0.29026,-2.3226588103700436
1.25,0.625,1.7741924008569958,0.28214,-2.04120601932588
1.25,0.75,1.704406107973003,0.2665,-1.262487483729856
1.25,0.875,1.3253335520817278,0.25366,-0.2935118186208293
1.25,1.0,1.021710980673336,0.24636,0.04274350626951226
1.25,1.125,1.4871980723106806,0.23672,1.3983484660354375
1.25,1.25,1.634161668168445,0.22798,2.3427106560147886
1.25,1.375,1.821134784709389,0.2209,3.1723764687674025
1.25,1.5,1.883240637542865,0.20954,4.57735026784774
1.25,1.625,1.9073088518767836,0.20148,5.616894142037232
1.25,1.75,1.9390480771284295,0.19966,6.571465387302402
1.25,1.875,1.958136775936276,0.189,8.297637917946062
1.25,2.0,1.9454205587976918,0.18088,9.24654411219436
1.5,0.125,1.476055569380325,0.3355,-1.775393719462371
