Pe,Pf,alpha
0,0,0.918149406140382
0,1,1.8686298081561257
0,2,1.9596540027733975
0,3,1.9790521759713342
0,4,1.9964671994746883
0,5,1.9916684831287692
1,0,1.0704101360190337
1,1,1.8004792468505422
1,2,1.9303841443242973
1,3,1.9857962574853905
1,4,1.9716606610028216
1,5,2.0055854215212654
2,0,1.0326108630342263
2,1,1.692403069316436
2,2,1.9173333552322094
2,3,1.9703266704572158
2,4,1.9555422397005005
2,5,1.9531656546346632
3,0,0.9952274377788717
3,1,1.4426311007262786
3,2,1.8100316499633344
3,3,1.8996355028264797
3,4,1.9136399910806698
3,5,1.918175282220976
4,0,1.0442589943463358
4,1,1.4332951123186526
4,2,1.796547169414475
4,3,1.7857927065577877
4,4,1.8618423186523918
4,5,1.889902639471024
5,0,1.341318084741723
5,1,1.4289088996220012
5,2,1.4809349544168717
5,3,1.6689966095944873
5,4,1.791557324997204
5,5,1.8799488579186512
