Pe,Pf,alpha
0.0,0.0,0.8069438423001444
0.0,1.11,1.9003190674714574
0.0,2.22,1.949044856754816
0.0,3.33,2.0027823153886786
0.0,4.44,1.985322862455789
0.0,5.56,1.9940093998024928
0.0,6.67,1.9878580111953643
0.0,7.78,1.9747111958455845
0.0,8.89,1.9964186881978634
0.0,10.0,1.9948821523588638
1.11,0.0,0.8882344024274726
1.11,1.11,1.8219634873626838
1.11,2.22,1.9099744085234964
1.11,3.33,2.017717839798859
1.11,4.44,1.97850378503708
1.11,5.56,1.9659960881055136
1.11,6.67,1.998399639449222
1.11,7.78,2.007770660485918
1.11,8.89,1.9873729698655362
1.11,10.0,2.0076961485140137
2.22,0.0,1.1333343404832423
2.22,1.11,1.6629451492256027
2.22,2.22,1.9321838890787046
2.22,3.33,2.0165659173331605
2.22,4.44,1.9520846634981062
2.22,5.56,1.9750272731901837
2.22,6.67,1.9753122209654816
2.22,7.78,1.9619626819995752
2.22,8.89,1.963380630039585
2.22,10.0,2.000322329035731
3.33,0.0,1.0185353972574267
3.33,1.11,1.4919339013433495
3.33,2.22,1.8460185732564878
3.33,3.33,1.8676706013816302
3.33,4.44,1.9653643837660395
3.33,5.56,1.9523243627963407
3.33,6.67,1.94891267915309
3.33,7.78,1.994001148649717
3.33,8.89,1.9770944653842206
3.33,10.0,1.9860081083356482
4.44,0.0,1.2491823409225022
4.44,1.11,1.2923731902728988
4.44,2.22,1.7021142403041807
4.44,3.33,1.843650260553795
4.44,4.44,1.8503721677222587
4.44,5.56,1.953771941435593
4.44,6.67,1.9373982872960818
4.44,7.78,1.948369431358092
4.44,8.89,1.9625426686188587
4.44,10.0,2.0108089377664498
5.56,0.0,1.1960167309140362
5.56,1.11,1.4109062707005542
5.56,2.22,1.45939383882745
5.56,3.33,1.6334696033877374
5.56,4.44,1.8796288922461855
5.56,5.56,1.8649217392519795
5.56,6.67,1.8825277849892963
5.56,7.78,1.8819733619191845
5.56,8.89,1.9880276021716603
5.56,10.0,1.95957205165659
6.67,0.0,1.1459516897938862
6.67,1.11,1.317416593945902
6.67,2.22,1.235170592126853
6.67,3.33,1.435372506871266
6.67,4.44,1.6631105784409463
6.67,5.56,1.8078384308067137
6.67,6.67,1.7491918124594643
6.67,7.78,1.861798520977044
6.67,8.89,1.9638184853855971
6.67,10.0,1.9524720819055894
7.78,0.0,1.2179580986601077
7.78,1.11,1.252345082084943
7.78,2.22,1.2675442228458742
7.78,3.33,1.3509993911203604
7.78,4.44,1.392082665941378
7.78,5.56,1.6026982222734503
7.78,6.67,1.735112592040958
7.78,7.78,1.8145141140856924
7.78,8.89,1.8200280495376182
7.78,10.0,1.949093946857909
8.89,0.0,1.012952948894832
8.89,1.11,1.0742995392165477
8.89,2.22,1.0263798444013927
8.89,3.33,1.344449886302095
8.89,4.44,1.0845651261047506
8.89,5.56,1.5313471974586268
8.89,6.67,1.5997271537842217
8.89,7.78,1.6790956798267256
8.89,8.89,1.8204924253280936
8.89,10.0,1.8587587014622884
10.0,0.0,1.1209742862742165
10.0,1.11,1.054970048788327
10.0,2.22,1.127706994499262
10.0,3.33,1.0691716837869154
10.0,4.44,1.0686536524291652
10.0,5.56,1.2479124303228861
10.0,6.67,1.2599764982518256
10.0,7.78,1.4102233669548927
10.0,8.89,1.6870270631527473
10.0,10.0,1.772887713596265
