# Ps Pf tauTTD tauBTD
0.25 0.5 0.1574205640620678 4.3400386091353145
0.25 1.0 0.1457308778345682 5.3283559020404265
0.25 1.5 0.1437419969183891 6.140871296550723
0.25 2.0 0.12801497667052159 6.339379616603017
0.25 2.5 0.13356855368030054 6.766344517133261
0.25 3.0 0.13603916561206542 7.615310921845451
0.25 3.5 0.12951943206250532 8.316099052283496
0.25 4.0 0.13163438343133785 7.6868835209212
0.25 4.5 0.12291290576634062 8.422901691479609
0.25 5.0 0.12175464022261487 8.279146012135024
0.25 5.5 0.1241904384460947 8.047597594690972
0.25 6.0 0.12313598859365943 8.445911273369418
0.25 6.5 0.11760196552959493 8.504697230471727
0.25 7.0 0.13445528179083394 8.993841044045233
0.25 7.5 0.118309463961369 8.499529616851277
0.25 8.0 0.12155885335157188 9.23315163988834
0.50 0.5 0.24980458182370965 2.249941636676766
0.50 1.0 0.2132159987078349 2.5031362038809357
0.50 1.5 0.1764636135119571 3.066904314747647
0.50 2.0 0.1552568077432009 3.2684916907328163
0.50 2.5 0.1458360491524618 3.8325761968116194
0.50 3.0 0.14882031505697557 4.228586118056454
0.50 3.5 0.13334819711907375 4.684954330718278
0.50 4.0 0.13521139802863946 4.89892506631387
0.50 4.5 0.12977870620402224 5.439503250574942
0.50 5.0 0.1235457536129937 5.631019332596385
0.50 5.5 0.12305049796597181 5.936143499808485
0.50 6.0 0.13164196381143065 6.3901321171685925
0.50 6.5 0.12729064440526255 6.287448780749697
0.50 7.0 0.12385551624083647 6.749803975854748
0.50 7.5 0.12287107756078879 6.842281870743493
0.50 8.0 0.1266542516994669 7.8094948001378315
0.75 0.5 0.35224512857187107 1.345719751519597
0.75 1.0 0.25575425058530094 1.4872890773507004
0.75 1.5 0.21200440873474471 1.8195187100061332
0.75 2.0 0.18057317451711374 2.1190384769424084
0.75 2.5 0.1633049900156905 2.3135797596121677
0.75 3.0 0.15368314451207374 2.654053946390862
0.75 3.5 0.14624813374478224 2.964794548669674
0.75 4.0 0.14429667336760724 3.338184113036667
0.75 4.5 0.14349008108119282 3.4173340650162345
0.75 5.0 0.13858976561975556 3.9923353700293536
0.75 5.5 0.12928363862427153 3.9149501635301216
0.75 6.0 0.13531819674751955 3.9902605044585053
0.75 6.5 0.12789740821949308 4.546529540670035
0.75 7.0 0.12491405106079735 4.785296579914699
0.75 7.5 0.11617736246208307 5.091447363154447
0.75 8.0 0.1197303260030039 5.372870069148843
1.00 0.5 0.4740589649629598 1.0252736821244752
1.00 1.0 0.3112274946384498 1.1311333401603618
1.00 1.5 0.25277511327888863 1.2687784677806857
1.00 2.0 0.20994766968202253 1.4065760545290757
1.00 2.5 0.20861987125592774 1.5010392578170075
1.00 3.0 0.17233277021657833 1.6872842622471187
1.00 3.5 0.16171883967417505 1.915044896735448
1.00 4.0 0.1555660085367099 2.0384873997861583
1.00 4.5 0.15248386600964584 2.560780688762386
1.00 5.0 0.14545190448840467 2.522083149123186
1.00 5.5 0.13878757420957724 2.8426843704271985
1.00 6.0 0.13974589812347643 2.981002343643423
1.00 6.5 0.12972245317655745 3.1832396823476667
1.00 7.0 0.12848796031597112 3.395879966084773
1.00 7.5 0.13068686317294972 3.5694721284823885
1.00 8.0 0.12663026633436722 3.495471679573875
1.25 0.5 0.5933710665171009 0.8415087883630895
1.25 1.0 0.39009752486277055 0.9001047238262601
1.25 1.5 0.28668468710353 0.9535646322652246
1.25 2.0 0.23765692767570878 1.055569311839667
1.25 2.5 0.22574513442385813 1.1229728545655149
1.25 3.0 0.19741536543912996 1.2404138657117711
1.25 3.5 0.1843510060701561 1.272146141126489
1.25 4.0 0.16557786036375233 1.5511464036652671
1.25 4.5 0.16880410988251038 1.6937378284289122
1.25 5.0 0.1567466833887455 1.80853452542626
1.25 5.5 0.1491244989151905 1.9492233922255235
1.25 6.0 0.1527984270243471 2.0394238103248465
1.25 6.5 0.13983714494411892 2.2515014226910317
1.25 7.0 0.12984709277908826 2.42219110212145
1.25 7.5 0.12922264693135926 2.617983164977803
1.25 8.0 0.12787619894503402 2.7073847541806444
1.50 0.5 0.6610176943111585 0.704340353753818
1.50 1.0 0.4299573312705596 0.7537546218251682
1.50 1.5 0.3156722070624906 0.8342780300028172
1.50 2.0 0.27343651622521725 0.8557897615005109
