# Ps Pf tauTTD tauBTD
0.25 0.5 0.16751456208612364 5.178536549038226
0.25 1.0 0.14879444961585403 6.203465737240572
0.25 1.5 0.1551263699408247 6.75203340931436
0.25 2.0 0.13301305144601758 7.965420271635019
0.25 2.5 0.12876171063831116 8.813867811105432
0.25 3.0 0.13713061605464077 8.450468930476008
0.25 3.5 0.12506826527696727 8.764622826344612
0.25 4.0 0.13701436052711977 9.660042053893033
0.25 4.5 0.1228135820700071 9.492777355228363
0.25 5.0 0.1345764204573443 9.360865512778004
0.25 5.5 0.12354626216684454 9.330892840002265
0.25 6.0 0.12015140926375364 10.000581190573323
0.25 6.5 0.12559771383171425 10.134235665808127
0.25 7.0 0.12870869507227686 10.204145903477501
0.25 7.5 0.11855791594344409 10.108312718421635
0.25 8.0 0.12375679245091077 10.082260702623143
0.50 0.5 0.23611686531944 2.3474352643974457
0.50 1.0 0.19306221642863103 2.979556732266463
0.50 1.5 0.17521046502991813 3.586009228325671
0.50 2.0 0.15302222079503455 4.390095040076345
0.50 2.5 0.1502031094014588 4.774777334132266
0.50 3.0 0.13950256004029143 5.386865560315982
0.50 3.5 0.12756775695600547 6.217632980895098
0.50 4.0 0.13049170649889388 6.15238924647442
0.50 4.5 0.12530418585840836 6.609297037108508
0.50 5.0 0.13127792053169196 7.024136175296538
0.50 5.5 0.14274868002066998 7.217873585060701
0.50 6.0 0.12757790739284428 7.1553701316018055
0.50 6.5 0.12627337862740265 7.9726095320748245
0.50 7.0 0.13034165435064404 7.763887568322024
0.50 7.5 0.1284094074777808 8.379556852087957
0.50 8.0 0.12103471120928665 8.709986436474727
0.75 0.5 0.3338972436416857 1.4320429501932093
0.75 1.0 0.2653148449256939 1.7300861790012563
0.75 1.5 0.20679169301160907 2.0997409579824513
0.75 2.0 0.18629404192573423 2.5269321033074816
0.75 2.5 0.16802788390701984 2.858119220300528
0.75 3.0 0.15830622569230918 3.4458100279792636
0.75 3.5 0.15128860938606925 3.6390831476828756
0.75 4.0 0.14588098355007564 4.151822817764953
0.75 4.5 0.14212421437077513 4.358071682378293
0.75 5.0 0.1350940569062769 4.854666085750479
0.75 5.5 0.13485911710972298 5.566513909539659
0.75 6.0 0.12762397100586403 5.287770943483701
0.75 6.5 0.12764413973204675 5.893472114002781
0.75 7.0 0.12286067744880051 5.775503125793521
0.75 7.5 0.11711235380722257 6.5617951674221215
0.75 8.0 0.12025509737932298 6.162498871925599
1.00 0.5 0.4843177286321298 1.0868963384785462
1.00 1.0 0.3251864910941367 1.232072331161852
1.00 1.5 0.25755430965025283 1.404922743177582
1.00 2.0 0.20816256911106668 1.5648615027677681
1.00 2.5 0.19411437506719073 1.8051703964512866
1.00 3.0 0.18063380677025231 2.0512148881653762
1.00 3.5 0.16529526215134824 2.428262332170909
1.00 4.0 0.1620904034717092 2.654427897769257
1.00 4.5 0.15047668256057425 2.9450454541696387
1.00 5.0 0.14585061562364102 3.15429294161416
1.00 5.5 0.1340469657754444 3.419481336049212
1.00 6.0 0.13934208811569235 4.113720932916176
1.00 6.5 0.12335197601826468 3.9274229436431893
1.00 7.0 0.13540782415295888 4.5180948403914245
1.00 7.5 0.13115574471372377 4.364819146755434
1.00 8.0 0.11842646782951997 4.621999793629866
1.25 0.5 0.5798122494714609 0.8932138886529929
1.25 1.0 0.37265185601612727 0.9515410936002818
