# Ps Pf mean_tdx
0.25 0.5 -0.016447247600724378
0.25 1.0 -0.01702217690929971
0.25 1.5 -0.010292329955872271
0.25 2.0 -0.0008856162100112668
0.25 2.5 0.006705138534533996
0.25 3.0 0.01584108492189349
0.25 3.5 0.02372133514979472
0.25 4.0 0.03237129592837115
0.25 4.5 0.04050328302235983
0.25 5.0 0.04893982329457075
0.25 5.5 0.05753753255343114
0.25 6.0 0.06486243415094903
0.25 6.5 0.0732071126423329
0.25 7.0 0.08061446377806895
0.25 7.5 0.08791065420426854
0.25 8.0 0.09492385743163641
0.50 0.5 -0.056618953258010495
0.50 1.0 -0.07281260638726621
0.50 1.5 -0.0704521381978686
0.50 2.0 -0.06184201352863515
0.50 2.5 -0.05313174272475457
0.50 3.0 -0.04275608458433473
0.50 3.5 -0.031776535409563024
0.50 4.0 -0.0224552701806855
0.50 4.5 -0.013431430905833366
0.50 5.0 -0.002918391510647091
0.50 5.5 0.006519529241160527
0.50 6.0 0.015151498400961685
0.50 6.5 0.02377516619645633
0.50 7.0 0.033738518829615545
0.50 7.5 0.039997143219975065
0.50 8.0 0.050011397341340094
0.75 0.5 -0.1195550058277829
0.75 1.0 -0.1465389810081138
0.75 1.5 -0.14294994177481954
0.75 2.0 -0.13446652292265104
0.75 2.5 -0.12140116620946283
0.75 3.0 -0.11194914952584435
0.75 3.5 -0.09995861950482424
0.75 4.0 -0.08901728180046797
0.75 4.5 -0.07945435363396301
0.75 5.0 -0.06860960665708878
0.75 5.5 -0.058351191458057707
0.75 6.0 -0.04934609584986354
0.75 6.5 -0.037828532906545635
0.75 7.0 -0.029548828802864843
0.75 7.5 -0.01947884252312505
0.75 8.0 -0.011104580330668573
1.00 0.5 -0.20854913202915562
1.00 1.0 -0.24282230617042963
1.00 1.5 -0.231520117930286
1.00 2.0 -0.21566732413506254
1.00 2.5 -0.2017001046994547
1.00 3.0 -0.18724408769358375
1.00 3.5 -0.173959462420698
1.00 4.0 -0.16116672631697446
1.00 4.5 -0.14930578261740893
1.00 5.0 -0.13760720309042104
1.00 5.5 -0.12635391566107493
1.00 6.0 -0.11625058563617674
1.00 6.5 -0.1065955141637431
1.00 7.0 -0.09559928372303189
1.00 7.5 -0.08540286008152138
1.00 8.0 -0.07645049060894811
1.25 0.5 -0.3194950615960837
1.25 1.0 -0.35491906593153427
1.25 1.5 -0.3315504720608644
1.25 2.0 -0.30826536936628285
1.25 2.5 -0.28781737293559434
1.25 3.0 -0.2682960351481033
1.25 3.5 -0.25114973735415935
1.25 4.0 -0.2371501931691488
1.25 4.5 -0.22132213375307097
1.25 5.0 -0.20958341947958561
1.25 5.5 -0.1962014677430141
1.25 6.0 -0.18528468224245392
1.25 6.5 -0.17410550615518222
1.25 7.0 -0.16350360689432256
1.25 7.5 -0.15395783936535454
1.25 8.0 -0.14283284663200974
1.50 0.5 -0.4504768934564992
1.50 1.0 -0.4850734519365167
1.50 1.5 -0.447696287506673
1.50 2.0 -0.41247581697949837
1.50 2.5 -0.38416525563765136
1.50 3.0 -0.35629397120368445
1.50 3.5 -0.3343267704256608
1.50 4.0 -0.31492565750336926
1.50 4.5 -0.29934704738785534
1.50 5.0 -0.28403935735933933
1.50 5.5 -0.26836331617285425
1.50 6.0 -0.25505953096857653
1.50 6.5 -0.24323436949088523
1.50 7.0 -0.23108342130388096
1.50 7.5 -0.22012112775159617
1.50 8.0 -0.2091895264484852
1.75 0.5 -0.5937536891035288
1.75 1.0 -0.6180094040504981
1.75 1.5 -0.5698286287963195
1.75 2.0 -0.5222302163361087
1.75 2.5 -0.4810469730625408
1.75 3.0 -0.449936214600688
1.75 3.5 -0.42248550269927854
1.75 4.0 -0.40074621142188505
1.75 4.5 -0.3792368227869187
1.75 5.0 -0.36147823315852695
1.75 5.5 -0.34255503550974475
1.75 6.0 -0.3295540393025003
1.75 6.5 -0.3156510786150327
1.75 7.0 -0.30146615433963375
1.75 7.5 -0.28789129740824787
1.75 8.0 -0.2765228782695455
2.00 0.5 -0.7301041226850649
2.00 1.0 -0.7609087300424183
2.00 1.5 -0.6944570581615968
2.00 2.0 -0.631538499232155
2.00 2.5 -0.5837067257947823
2.00 3.0 -0.543594968829547
2.00 3.5 -0.5140087795863607
2.00 4.0 -0.48541614442857856
2.00 4.5 -0.46189419515230484
2.00 5.0 -0.4397155504480166
2.00 5.5 -0.42041141457997105
2.00 6.0 -0.4037202599620651
2.00 6.5 -0.38693221409782447
2.00 7.0 -0.3711552509498063
2.00 7.5 -0.3572377479051754
2.00 8.0 -0.34557094901944746
2.25 0.5 -0.8787787549827661
2.25 1.0 -0.9051891121200201
2.25 1.5 -0.8187721361434679
2.25 2.0 -0.7448499781822379
2.25 2.5 -0.6902029460668442
2.25 3.0 -0.6422783664593751
2.25 3.5 -0.6067134839318011
2.25 4.0 -0.5746148176361788
2.25 4.5 -0.5478677871610179
2.25 5.0 -0.520759151625
2.25 5.5 -0.4994851386639828
2.25 6.0 -0.47905596728082056
2.25 6.5 -0.4625512430103116
2.25 7.0 -0.4458841923650746
2.25 7.5 -0.4310100233531491
2.25 8.0 -0.4152215473337105
2.50 0.5 -1.0276362306886861
2.50 1.0 -1.0464064885018922
2.50 1.5 -0.9475460313898308
2.50 2.0 -0.8613140856268755
2.50 2.5 -0.7960559568024365
2.50 3.0 -0.7459615639102519
2.50 3.5 -0.7023003586206124
2.50 4.0 -0.6619286961529715
2.50 4.5 -0.6312062704793762
2.50 5.0 -0.6029756714922173
2.50 5.5 -0.5802075728908743
2.50 6.0 -0.5592447868077439
2.50 6.5 -0.5349314905996146
2.50 7.0 -0.5192458952968766
2.50 7.5 -0.5034077630095734
2.50 8.0 -0.4841405189887332
2.75 0.5 -1.1855541158934975
2.75 1.0 -1.1925093281676442
2.75 1.5 -1.0757110005769797
2.75 2.0 -0.9805014192242388
2.75 2.5 -0.9064993948724841
2.75 3.0 -0.8443128029154771
2.75 3.5 -0.7941556070278275
2.75 4.0 -0.7535929212216835
2.75 4.5 -0.715973161506416
2.75 5.0 -0.6859902372585099
2.75 5.5 -0.6611120828769906
2.75 6.0 -0.6337249126249205
2.75 6.5 -0.6132648800467888
2.75 7.0 -0.5924507797835155
2.75 7.5 -0.5732186919932439
2.75 8.0 -0.5559650730730689
3.00 0.5 -1.3292096582202562
3.00 1.0 -1.3426330824405333
3.00 1.5 -1.2016305996677157
3.00 2.0 -1.0916624078907122
3.00 2.5 -1.0089100888626505
3.00 3.0 -0.9414483594193322
3.00 3.5 -0.8885154568124034
3.00 4.0 -0.8433418027824409
3.00 4.5 -0.802836403111232
3.00 5.0 -0.7713526846700436
3.00 5.5 -0.7395355166162502
3.00 6.0 -0.714000086756977
3.00 6.5 -0.6908790838155036
3.00 7.0 -0.6660142861070639
3.00 7.5 -0.6491875300304156
3.00 8.0 -0.6267065009251719
3.25 0.5 -1.4706994642804656
3.25 1.0 -1.4688330062573907
3.25 1.5 -1.3266783051125106
3.25 2.0 -1.2126719884814314
3.25 2.5 -1.1167046487128867
3.25 3.0 -1.0438523897528986
3.25 3.5 -0.9830161150583968
3.25 4.0 -0.9302926789026319
3.25 4.5 -0.890388443691682
3.25 5.0 -0.8572389701960507
3.25 5.5 -0.8216441755493751
3.25 6.0 -0.7910561852627664
3.25 6.5 -0.7667008051930718
3.25 7.0 -0.7408887012749078
3.25 7.5 -0.7179940622061662
3.25 8.0 -0.6973815028170322
