# time variance
1.000000000000000021e-03 2.457597974938330185e-05
2.000000000000000042e-03 5.792920592717549263e-05
3.000000000000000062e-03 1.003401920935510316e-04
4.000000000000000083e-03 1.515828976110140947e-04
6.000000000000000125e-03 2.809780677030815094e-04
7.000000000000000146e-03 3.589028487468231220e-04
8.000000000000000167e-03 4.454540113653921557e-04
1.200000000000000025e-02 8.839095879442691135e-04
1.400000000000000029e-02 1.155756147916333449e-03
1.499999999999999944e-02 1.304939173403088298e-03
1.600000000000000033e-02 1.459492569541244629e-03
2.400000000000000050e-02 3.040617435153329835e-03
2.800000000000000058e-02 4.046283366765372758e-03
2.999999999999999889e-02 4.599896184518603541e-03
3.099999999999999978e-02 4.890333612155796719e-03
3.200000000000000067e-02 5.170917484384292793e-03
4.800000000000000100e-02 1.111913752244695491e-02
5.600000000000000117e-02 1.493409878786428231e-02
5.999999999999999778e-02 1.705331413188292816e-02
6.199999999999999956e-02 1.815903891462352510e-02
6.300000000000000044e-02 1.872801500833633920e-02
6.400000000000000133e-02 1.927220151061685011e-02
9.600000000000000200e-02 4.207608767425771029e-02
1.120000000000000023e-01 5.667890509608880523e-02
1.199999999999999956e-01 6.477910699706909692e-02
1.239999999999999991e-01 6.903213634615062988e-02
1.260000000000000009e-01 7.119819094485359268e-02
1.270000000000000018e-01 7.229935065899642521e-02
1.280000000000000027e-01 7.316268763393046770e-02
1.920000000000000040e-01 1.597291521451180141e-01
2.240000000000000047e-01 2.143248968851179659e-01
2.399999999999999911e-01 2.443704805824891968e-01
2.479999999999999982e-01 2.600675060610757039e-01
2.520000000000000018e-01 2.680798497007628178e-01
2.540000000000000036e-01 2.721064822483496570e-01
2.550000000000000044e-01 2.741413056284885963e-01
2.560000000000000053e-01 2.741573079348838538e-01
3.840000000000000080e-01 5.824087578680642308e-01
4.480000000000000093e-01 7.690444177045003826e-01
4.799999999999999822e-01 8.689178324300623757e-01
4.959999999999999964e-01 9.205184672246187194e-01
5.040000000000000036e-01 9.467268042363583547e-01
5.080000000000000071e-01 9.599190008785133399e-01
5.100000000000000089e-01 9.664859177995572814e-01
