# time MSD
1.000000000000000021e-03 2.821532416754078562e-05
2.000000000000000042e-03 7.327752564325427519e-05
3.000000000000000062e-03 1.342353599124349972e-04
4.000000000000000083e-03 2.113125375057411817e-04
6.000000000000000125e-03 4.160401146629542695e-04
7.000000000000000146e-03 5.418293314111040371e-04
8.000000000000000167e-03 6.849675866205780445e-04
1.200000000000000025e-02 1.419869380199222401e-03
1.400000000000000029e-02 1.886693162796736645e-03
1.499999999999999944e-02 2.142486509817947277e-03
1.600000000000000033e-02 2.400298804863669564e-03
2.400000000000000050e-02 5.161033834030288175e-03
2.800000000000000058e-02 6.928218203086727867e-03
2.999999999999999889e-02 7.912845924790516683e-03
3.099999999999999978e-02 8.424301939991401048e-03
3.200000000000000067e-02 8.970949717300816598e-03
4.800000000000000100e-02 1.958434000054559004e-02
5.600000000000000117e-02 2.640958892313186382e-02
5.999999999999999778e-02 3.020004722076313070e-02
6.199999999999999956e-02 3.219707121558414153e-02
6.300000000000000044e-02 3.320933342382481612e-02
6.400000000000000133e-02 3.411886745286830253e-02
9.600000000000000200e-02 7.509324049354823560e-02
1.120000000000000023e-01 1.012029110073281030e-01
1.199999999999999956e-01 1.156855341772930756e-01
1.239999999999999991e-01 1.232793747651165089e-01
1.260000000000000009e-01 1.271841387999403661e-01
1.270000000000000018e-01 1.291371765752118428e-01
1.280000000000000027e-01 1.302989616552266416e-01
1.920000000000000040e-01 2.842786303890490474e-01
2.240000000000000047e-01 3.814776376667822211e-01
2.399999999999999911e-01 4.346687946586288986e-01
2.479999999999999982e-01 4.625226614482448317e-01
2.520000000000000018e-01 4.767471072411291755e-01
2.540000000000000036e-01 4.839726532937863035e-01
2.550000000000000044e-01 4.875653194442609029e-01
2.560000000000000053e-01 4.875952138440524664e-01
3.840000000000000080e-01 1.036940372592750625e+00
4.480000000000000093e-01 1.374930234059024148e+00
4.799999999999999822e-01 1.558636022979061675e+00
4.959999999999999964e-01 1.653709965953453542e+00
5.040000000000000036e-01 1.702293464101663378e+00
5.080000000000000071e-01 1.726803512349574854e+00
5.100000000000000089e-01 1.739182574189260810e+00
5.110000000000000098e-01 1.745341683599360705e+00
5.120000000000000107e-01 1.741485807147225007e+00
7.680000000000000160e-01 3.568235840899054434e+00
8.960000000000000187e-01 4.655732595247156880e+00
9.599999999999999645e-01 5.239155259779469276e+00
9.919999999999999929e-01 5.540143361397864119e+00
1.008000000000000007e+00 5.692460903130459826e+00
1.016000000000000014e+00 5.769494041040163168e+00
1.020000000000000018e+00 5.808181863351673080e+00
1.022000000000000020e+00 5.827629383089531601e+00
1.023000000000000131e+00 5.837341532471739036e+00
1.024000000000000021e+00 5.885445457004550462e+00
1.536000000000000032e+00 1.144126715118949633e+01
1.792000000000000037e+00 1.460433116957896260e+01
1.919999999999999929e+00 1.626621575265519226e+01
1.983999999999999986e+00 1.711727110323153411e+01
2.016000000000000014e+00 1.754731188974552580e+01
2.032000000000000028e+00 1.776295200060228296e+01
2.040000000000000036e+00 1.787146284189239864e+01
2.044000000000000039e+00 1.792593307184121443e+01
2.046000000000000263e+00 1.795326677383929237e+01
2.047000000000000153e+00 1.796696461512676279e+01
2.048000000000000043e+00 1.807655139491324903e+01
3.072000000000000064e+00 3.320610958803991508e+01
3.584000000000000075e+00 4.142549610411298033e+01
3.839999999999999858e+00 4.565421277660433219e+01
3.967999999999999972e+00 4.780677959096741603e+01
4.032000000000000028e+00 4.889518016700602487e+01
4.064000000000000057e+00 4.944104925085651558e+01
4.080000000000000071e+00 4.971450754829855612e+01
4.088000000000000078e+00 4.985199869358475411e+01
4.092000000000000526e+00 4.992108334388607460e+01
4.094000000000000306e+00 4.995580046514152173e+01
4.094999999999999751e+00 4.997324417564460930e+01
4.096000000000000085e+00 4.945459086211351263e+01
6.144000000000000128e+00 8.668402520249584597e+01
7.168000000000000149e+00 1.070637238299392919e+02
7.679999999999999716e+00 1.176038804652190208e+02
7.935999999999999943e+00 1.229192345297226012e+02
8.064000000000000057e+00 1.256008322295406145e+02
8.128000000000000114e+00 1.269571379976572558e+02
8.160000000000000142e+00 1.276375089749793545e+02
8.176000000000000156e+00 1.279790552425215679e+02
8.184000000000001052e+00 1.281507166161121631e+02
8.188000000000000611e+00 1.282357569779146900e+02
8.189999999999999503e+00 1.282793269233013120e+02
8.191000000000000725e+00 1.283008342927114427e+02
8.192000000000000171e+00 1.275120811977810007e+02
1.228800000000000026e+01 2.225150278558437549e+02
1.433600000000000030e+01 2.767435702842948331e+02
1.446499999999999986e+01 2.801216506373717721e+02
1.446600000000000108e+01 2.801489968092539016e+02
1.446799999999999997e+01 2.802041195530659365e+02
1.447199999999999953e+01 2.803129151191200208e+02
1.448000000000000043e+01 2.805328610839189878e+02
1.449600000000000044e+01 2.809703348467937758e+02
1.452800000000000047e+01 2.818472464992465234e+02
1.459200000000000053e+01 2.836004465262301437e+02
