# time variance
1.000000000000000021e-03 2.005098882705723929e-05
2.000000000000000042e-03 4.001282724441313030e-05
3.000000000000000062e-03 6.046557525759630315e-05
4.000000000000000083e-03 8.133438340518449046e-05
6.000000000000000125e-03 1.220620476359305035e-04
7.000000000000000146e-03 1.428970398254584260e-04
8.000000000000000167e-03 1.632472536319784203e-04
1.200000000000000025e-02 2.494604524019271318e-04
1.400000000000000029e-02 2.920185653542420540e-04
1.499999999999999944e-02 3.140778100423395288e-04
1.600000000000000033e-02 3.329395418400736550e-04
2.400000000000000050e-02 5.122695920555834712e-04
2.800000000000000058e-02 6.062841790582937027e-04
2.999999999999999889e-02 6.517856686525675541e-04
3.099999999999999978e-02 6.756900960104367465e-04
3.200000000000000067e-02 6.909569128345202692e-04
4.800000000000000100e-02 1.081060433476043262e-03
5.600000000000000117e-02 1.289300855200581309e-03
5.999999999999999778e-02 1.396286113780708217e-03
6.199999999999999956e-02 1.447849001570400678e-03
6.300000000000000044e-02 1.475840397943886575e-03
6.400000000000000133e-02 1.525203119291494800e-03
9.600000000000000200e-02 2.457681204605720576e-03
1.120000000000000023e-01 2.966459474842980757e-03
1.199999999999999956e-01 3.230243571021779170e-03
1.239999999999999991e-01 3.365419294223534127e-03
1.260000000000000009e-01 3.431413811704985255e-03
1.270000000000000018e-01 3.466948591744724480e-03
1.280000000000000027e-01 3.519966454903742520e-03
1.920000000000000040e-01 5.960530495033191864e-03
2.240000000000000047e-01 7.319595486414007084e-03
2.399999999999999911e-01 8.036938909360601124e-03
2.479999999999999982e-01 8.403866330106361804e-03
2.520000000000000018e-01 8.591858453133805612e-03
2.540000000000000036e-01 8.680141345661361238e-03
2.550000000000000044e-01 8.730582877604513986e-03
2.560000000000000053e-01 8.904081160950687995e-03
3.840000000000000080e-01 1.589706580233679264e-02
4.480000000000000093e-01 1.995952711575869898e-02
4.799999999999999822e-01 2.206104294060948212e-02
4.959999999999999964e-01 2.315713511967651753e-02
5.040000000000000036e-01 2.372604173158451499e-02
5.080000000000000071e-01 2.400755000472262063e-02
5.100000000000000089e-01 2.413869525904301441e-02
5.110000000000000098e-01 2.421446046849690462e-02
5.120000000000000107e-01 2.422286741394804460e-02
7.680000000000000160e-01 4.517052072423858450e-02
8.960000000000000187e-01 5.729521644452073570e-02
9.599999999999999645e-01 6.371909967881997372e-02
9.919999999999999929e-01 6.688902629013936119e-02
1.008000000000000007e+00 6.856606354176539297e-02
1.016000000000000014e+00 6.942627543899240750e-02
1.020000000000000018e+00 6.985019929677854789e-02
1.022000000000000020e+00 7.004929381257193888e-02
1.023000000000000131e+00 7.016552004893752970e-02
1.024000000000000021e+00 6.970586007207535406e-02
1.536000000000000032e+00 1.299058020129201241e-01
1.792000000000000037e+00 1.640117056253014294e-01
1.919999999999999929e+00 1.816350998800101979e-01
1.983999999999999986e+00 1.906505277347693705e-01
2.016000000000000014e+00 1.949258018009210613e-01
2.032000000000000028e+00 1.971774448736140495e-01
2.040000000000000036e+00 1.983390174100761461e-01
2.044000000000000039e+00 1.988962935554889899e-01
2.046000000000000263e+00 1.991734804934984226e-01
2.047000000000000153e+00 1.993308761040736288e-01
2.048000000000000043e+00 1.990660604071368134e-01
3.072000000000000064e+00 3.500305791879425588e-01
3.584000000000000075e+00 4.294348785668632429e-01
3.839999999999999858e+00 4.697447326605512785e-01
3.967999999999999972e+00 4.901680941553854254e-01
4.032000000000000028e+00 5.004412149356349815e-01
4.064000000000000057e+00 5.051870714742860979e-01
4.080000000000000071e+00 5.077206076559055425e-01
4.088000000000000078e+00 5.090377543987516518e-01
4.092000000000000526e+00 5.096359370214682549e-01
4.094000000000000306e+00 5.099302055049530491e-01
4.094999999999999751e+00 5.100863948649574375e-01
4.096000000000000085e+00 5.117951946953220865e-01
6.144000000000000128e+00 8.384929601424611079e-01
7.168000000000000149e+00 1.000227432344612755e+00
7.679999999999999716e+00 1.081431014969208348e+00
7.935999999999999943e+00 1.122796812410634004e+00
8.064000000000000057e+00 1.143420483767473961e+00
8.128000000000000114e+00 1.153703694099701416e+00
8.160000000000000142e+00 1.158460787260181313e+00
8.176000000000000156e+00 1.161029824799992838e+00
