# time MSD
1.000000000000000021e-03 2.794741021438134891e-05
2.000000000000000042e-03 7.163660374418381416e-05
3.000000000000000062e-03 1.317443682678566845e-04
4.000000000000000083e-03 2.081836757977586236e-04
6.000000000000000125e-03 4.070257524171006706e-04
7.000000000000000146e-03 5.311174317555812695e-04
8.000000000000000167e-03 6.699418799627272119e-04
1.200000000000000025e-02 1.383420293591627794e-03
1.400000000000000029e-02 1.832784820269159299e-03
1.499999999999999944e-02 2.082863361623507516e-03
1.600000000000000033e-02 2.349465674718047726e-03
2.400000000000000050e-02 5.004274758939216555e-03
2.800000000000000058e-02 6.686382542616427747e-03
2.999999999999999889e-02 7.611644206858901411e-03
3.099999999999999978e-02 8.100107437764833551e-03
3.200000000000000067e-02 8.585071221656932067e-03
4.800000000000000100e-02 1.836608647254549601e-02
5.600000000000000117e-02 2.441491552304153947e-02
5.999999999999999778e-02 2.769509405495974505e-02
6.199999999999999956e-02 2.939258393706008915e-02
6.300000000000000044e-02 3.026562433205512784e-02
6.400000000000000133e-02 3.094993213486741876e-02
9.600000000000000200e-02 6.275040843577532612e-02
1.120000000000000023e-01 8.038669020536715060e-02
1.199999999999999956e-01 8.930383206570421950e-02
1.239999999999999991e-01 9.375593297892780009e-02
1.260000000000000009e-01 9.596692372522681869e-02
1.270000000000000018e-01 9.708280418852184568e-02
1.280000000000000027e-01 9.679310384766769138e-02
1.920000000000000040e-01 1.567080858038875646e-01
2.240000000000000047e-01 1.764877084009938979e-01
2.399999999999999911e-01 1.837819120473307422e-01
2.479999999999999982e-01 1.868677541232816042e-01
2.520000000000000018e-01 1.882849339861218940e-01
2.540000000000000036e-01 1.889541972474795828e-01
2.550000000000000044e-01 1.892890689235163515e-01
2.560000000000000053e-01 1.875817017075946669e-01
3.840000000000000080e-01 2.263563043335906078e-01
4.480000000000000093e-01 2.779684391498375984e-01
4.799999999999999822e-01 3.132381770769689378e-01
4.959999999999999964e-01 3.324407024004444322e-01
5.040000000000000036e-01 3.422970998895984440e-01
5.080000000000000071e-01 3.472753703629058997e-01
5.100000000000000089e-01 3.497733027803128225e-01
5.110000000000000098e-01 3.510370365533529435e-01
5.120000000000000107e-01 3.443393024138866609e-01
7.680000000000000160e-01 6.211233057584257811e-01
8.960000000000000187e-01 7.953527643257163326e-01
9.599999999999999645e-01 8.979913149070034573e-01
9.919999999999999929e-01 9.506826665431278300e-01
1.008000000000000007e+00 9.771718926513435211e-01
1.016000000000000014e+00 9.905157407754305865e-01
1.020000000000000018e+00 9.971916026107431330e-01
1.022000000000000020e+00 1.000498841488983937e+00
1.023000000000000131e+00 1.002155042479699443e+00
1.024000000000000021e+00 9.915981181319043491e-01
1.536000000000000032e+00 1.970922252596555735e+00
1.792000000000000037e+00 2.598620438629010376e+00
1.919999999999999929e+00 2.941700562943271091e+00
1.983999999999999986e+00 3.124794002008827398e+00
2.016000000000000014e+00 3.219578459089264211e+00
2.032000000000000028e+00 3.267544081676085455e+00
2.040000000000000036e+00 3.291988924374449788e+00
2.044000000000000039e+00 3.304185737565097813e+00
2.046000000000000263e+00 3.310243962431300258e+00
2.047000000000000153e+00 3.313323533541204124e+00
2.048000000000000043e+00 3.302192234984835828e+00
3.072000000000000064e+00 6.992588704433011060e+00
3.584000000000000075e+00 9.353072020834858336e+00
3.839999999999999858e+00 1.067465951892756060e+01
3.967999999999999972e+00 1.136248819140566368e+01
4.032000000000000028e+00 1.172331547756970238e+01
4.064000000000000057e+00 1.190690462537773264e+01
4.080000000000000071e+00 1.199949737528937455e+01
4.088000000000000078e+00 1.204647272268975122e+01
4.092000000000000526e+00 1.206976248074805724e+01
4.094000000000000306e+00 1.208130446589039231e+01
4.094999999999999751e+00 1.208718602763265970e+01
4.096000000000000085e+00 1.206129736904622973e+01
6.144000000000000128e+00 2.633289851758549105e+01
7.168000000000000149e+00 3.553905618087917873e+01
7.679999999999999716e+00 4.065284151020344439e+01
7.935999999999999943e+00 4.336320598700321938e+01
8.064000000000000057e+00 4.474079289384442149e+01
8.128000000000000114e+00 4.545303977647151328e+01
8.160000000000000142e+00 4.581321082814964996e+01
8.176000000000000156e+00 4.599432730407749403e+01
8.184000000000001052e+00 4.608585814944624559e+01
8.188000000000000611e+00 4.613118960512434796e+01
8.189999999999999503e+00 4.615374029157544555e+01
8.191000000000000725e+00 4.616517253982630820e+01
8.192000000000000171e+00 4.617572085831024964e+01
1.228800000000000026e+01 1.023306307640415156e+02
1.433600000000000030e+01 1.386855739464572537e+02
1.446499999999999986e+01 1.414175283671625323e+02
1.446600000000000108e+01 1.414367578829610181e+02
1.446799999999999997e+01 1.414744906939166071e+02
1.447199999999999953e+01 1.415506978109741567e+02
1.448000000000000043e+01 1.417045587110689553e+02
1.449600000000000044e+01 1.420087508421819393e+02
1.452800000000000047e+01 1.426193122072798758e+02
1.459200000000000053e+01 1.438574761786174747e+02
1.472000000000000064e+01 1.463661120194014700e+02
1.497600000000000087e+01 1.514747776237477694e+02
1.535999999999999943e+01 1.589158252904499307e+02
1.548799999999999955e+01 1.618499809498509592e+02
1.587199999999999989e+01 1.695394652828414621e+02
1.612800000000000011e+01 1.750377324890331465e+02
1.625600000000000023e+01 1.777931562833539942e+02
1.632000000000000028e+01 1.792075941473479475e+02
1.635200000000000031e+01 1.799210800307362774e+02
1.636800000000000210e+01 1.802791454674000136e+02
1.637600000000000122e+01 1.804601178235393490e+02
1.637999999999999901e+01 1.805497158162660298e+02
1.638200000000000145e+01 1.805943448490441483e+02
1.638299999999999912e+01 1.806169340255489431e+02
1.638400000000000034e+01 1.806323247018562768e+02
1.651200000000000045e+01 1.836526736480249440e+02
1.855999999999999872e+01 2.314133509276329335e+02
2.265599999999999881e+01 3.434596083362913532e+02
2.457600000000000051e+01 4.034324296004909343e+02
2.867200000000000060e+01 5.478648550594460858e+02
3.071999999999999886e+01 6.283508094070015204e+02
3.084799999999999898e+01 6.339437772270568985e+02
3.174399999999999977e+01 6.706430214285719558e+02
3.225600000000000023e+01 6.922779875219573569e+02
3.251200000000000045e+01 7.033483129000334202e+02
