# time MSD
2.000000000000000042e-03 5.936812256088049635e-05
4.000000000000000083e-03 4.437061331034152087e-04
8.000000000000000167e-03 2.172413704825853706e-03
1.600000000000000033e-02 9.672325715213890562e-03
3.200000000000000067e-02 4.021295113216162564e-02
6.400000000000000133e-02 1.535947897195146516e-01
1.280000000000000027e-01 4.880484764765751771e-01
2.560000000000000053e-01 1.076127741450054520e+00
5.120000000000000107e-01 1.934302722201847846e+00
1.024000000000000021e+00 3.800170643180627916e+00
2.048000000000000043e+00 6.587051968761681309e+00
4.096000000000000085e+00 1.210210828996136811e+01
8.192000000000000171e+00 2.159120786954400728e+01
1.638400000000000034e+01 3.929030370489138591e+01
3.276800000000000068e+01 7.973600815191463198e+01
6.553600000000000136e+01 1.538486643242821970e+02
8.000100000000000477e+01 1.897659543436228375e+02
8.000199999999999534e+01 1.897750384121956699e+02
8.000400000000000489e+01 1.897788725891323338e+02
8.000799999999999557e+01 1.897995942450313294e+02
8.001600000000000534e+01 1.897965350706605818e+02
8.003199999999999648e+01 1.898186724035379314e+02
8.006400000000000716e+01 1.899285030989148026e+02
8.012800000000000011e+01 1.900251316978759348e+02
8.025600000000000023e+01 1.902614835687013795e+02
8.051200000000000045e+01 1.911419908675370323e+02
8.102400000000000091e+01 1.927881979759385445e+02
8.204800000000000182e+01 1.951433445390668453e+02
8.409600000000000364e+01 2.019681851731388633e+02
8.819200000000000728e+01 2.117828268591999858e+02
9.638400000000000034e+01 2.316246098317222675e+02
1.127680000000000007e+02 2.744492308781043448e+02
1.455360000000000014e+02 3.478076678007565192e+02
1.600010000000000048e+02 3.701206239451594797e+02
1.600020000000000095e+02 3.701160227849750868e+02
1.600039999999999907e+02 3.701082150845551269e+02
1.600080000000000098e+02 3.700987037735387162e+02
1.600159999999999911e+02 3.700825780142111512e+02
1.600320000000000107e+02 3.700979085811150640e+02
1.600639999999999930e+02 3.701505150230543677e+02
1.601280000000000143e+02 3.703161419037077167e+02
1.602560000000000002e+02 3.707564253182861194e+02
1.605120000000000005e+02 3.713977846012144823e+02
1.610240000000000009e+02 3.708820128735032426e+02
1.620480000000000018e+02 3.751220248070104617e+02
1.640960000000000036e+02 3.848261358161540784e+02
1.681920000000000073e+02 3.907393370822790075e+02
1.763840000000000146e+02 4.217817154742618868e+02
1.927680000000000007e+02 4.501421636726441875e+02
2.255360000000000014e+02 5.323346482655331329e+02
2.400010000000000048e+02 5.633139673438645332e+02
2.400020000000000095e+02 5.633107390506053207e+02
2.400040000000000191e+02 5.633106132131849790e+02
2.400080000000000098e+02 5.633182227078543747e+02
