# time variance
1.000000000000000021e-03 2.618150506597558970e-05
2.000000000000000042e-03 6.481528469726319599e-05
3.000000000000000062e-03 1.158229063045737237e-04
4.000000000000000083e-03 1.788999704527759150e-04
6.000000000000000125e-03 3.430153564533370159e-04
7.000000000000000146e-03 4.434503843016501454e-04
8.000000000000000167e-03 5.577997864844913469e-04
1.200000000000000025e-02 1.132622191710470211e-03
1.400000000000000029e-02 1.495494389907430118e-03
1.499999999999999944e-02 1.694664529829229341e-03
1.600000000000000033e-02 1.908944255069594878e-03
2.400000000000000050e-02 4.049155389663255250e-03
2.800000000000000058e-02 5.408722200923393730e-03
2.999999999999999889e-02 6.164369004261090884e-03
3.099999999999999978e-02 6.558169490173810373e-03
3.200000000000000067e-02 6.980866917834081808e-03
4.800000000000000100e-02 1.516598596188430126e-02
5.600000000000000117e-02 2.042659421644489603e-02
5.999999999999999778e-02 2.333025127002408272e-02
6.199999999999999956e-02 2.485688173312523841e-02
6.300000000000000044e-02 2.563476327852047543e-02
6.400000000000000133e-02 2.641945922477062503e-02
9.600000000000000200e-02 5.805195285726716392e-02
1.120000000000000023e-01 7.828818142595506124e-02
1.199999999999999956e-01 8.952812509276109054e-02
1.239999999999999991e-01 9.538747610456888015e-02
1.260000000000000009e-01 9.839043964189730929e-02
1.270000000000000018e-01 9.990155102494574502e-02
1.280000000000000027e-01 1.011077237049724520e-01
1.920000000000000040e-01 2.212963166044802366e-01
2.240000000000000047e-01 2.975267327521176064e-01
2.399999999999999911e-01 3.393892224792394163e-01
2.479999999999999982e-01 3.613199028256854906e-01
2.520000000000000018e-01 3.724585989485478255e-01
2.540000000000000036e-01 3.780903506358153088e-01
2.550000000000000044e-01 3.809052685712055464e-01
2.560000000000000053e-01 3.837394958077529061e-01
3.840000000000000080e-01 8.212879340812104800e-01
4.480000000000000093e-01 1.090895739084776217e+00
4.799999999999999822e-01 1.237648542022360409e+00
4.959999999999999964e-01 1.313624072295207057e+00
5.040000000000000036e-01 1.352450342397867544e+00
5.080000000000000071e-01 1.371907530388574159e+00
5.100000000000000089e-01 1.381701131354315493e+00
5.110000000000000098e-01 1.386574185165249773e+00
5.120000000000000107e-01 1.393759418234199465e+00
7.680000000000000160e-01 2.870843435041523506e+00
8.960000000000000187e-01 3.755098298176633875e+00
9.599999999999999645e-01 4.230591093082853860e+00
9.919999999999999929e-01 4.477068801649476626e+00
1.008000000000000007e+00 4.601819897317142249e+00
1.016000000000000014e+00 4.664904904229153715e+00
1.020000000000000018e+00 4.696324723008505231e+00
1.022000000000000020e+00 4.712155263855418497e+00
1.023000000000000131e+00 4.720015010619839302e+00
1.024000000000000021e+00 4.732881886602264387e+00
1.536000000000000032e+00 9.386295869273162396e+00
1.792000000000000037e+00 1.209402475434687574e+01
1.919999999999999929e+00 1.352675291015177095e+01
1.983999999999999986e+00 1.426128794240104014e+01
2.016000000000000014e+00 1.463401872152140015e+01
2.032000000000000028e+00 1.482096692721079023e+01
2.040000000000000036e+00 1.491494291084005397e+01
2.044000000000000039e+00 1.496167857834277015e+01
2.046000000000000263e+00 1.498527281990530469e+01
2.047000000000000153e+00 1.499702101116706388e+01
2.048000000000000043e+00 1.506133031655765819e+01
3.072000000000000064e+00 2.823628696675154970e+01
3.584000000000000075e+00 3.546366316856961021e+01
3.839999999999999858e+00 3.916969654165114889e+01
3.967999999999999972e+00 4.104974897518030730e+01
4.032000000000000028e+00 4.199480147410963582e+01
4.064000000000000057e+00 4.246957288400693642e+01
4.080000000000000071e+00 4.270781764033097261e+01
4.088000000000000078e+00 4.282669745755083568e+01
4.092000000000000526e+00 4.288594040884674996e+01
4.094000000000000306e+00 4.291586995992952325e+01
4.094999999999999751e+00 4.293094907533560445e+01
4.096000000000000085e+00 4.290973560986310531e+01
6.144000000000000128e+00 7.440867307231224004e+01
7.168000000000000149e+00 9.066303876449046584e+01
7.679999999999999716e+00 9.889198262775289550e+01
7.935999999999999943e+00 1.029805370993651650e+02
8.064000000000000057e+00 1.050339456101098676e+02
8.128000000000000114e+00 1.060622385677895636e+02
8.160000000000000142e+00 1.065766521813591226e+02
8.176000000000000156e+00 1.068355025480686891e+02
8.184000000000001052e+00 1.069637234082911164e+02
8.188000000000000611e+00 1.070281367841701012e+02
8.189999999999999503e+00 1.070603889406556846e+02
8.191000000000000725e+00 1.070766881452052530e+02
8.192000000000000171e+00 1.068796556379013509e+02
1.228800000000000026e+01 1.727039729628322675e+02
1.433600000000000030e+01 2.056244107484199048e+02
1.446499999999999986e+01 2.072536874751394862e+02
1.446600000000000108e+01 2.072693871844776368e+02
1.446799999999999997e+01 2.073013829325745974e+02
1.447199999999999953e+01 2.073663833066575535e+02
1.448000000000000043e+01 2.074929069417667051e+02
1.449600000000000044e+01 2.077470834609812300e+02
1.452800000000000047e+01 2.082557151210839947e+02
1.459200000000000053e+01 2.092648650412265852e+02
1.472000000000000064e+01 2.112825326625270463e+02
1.497600000000000087e+01 2.153568552962760805e+02
1.535999999999999943e+01 2.220634968534304790e+02
1.548799999999999955e+01 2.235529255943920361e+02
1.587199999999999989e+01 2.303773880370699771e+02
1.612800000000000011e+01 2.344679869097199116e+02
1.625600000000000023e+01 2.365312584610846898e+02
1.632000000000000028e+01 2.375675345158897471e+02
1.635200000000000031e+01 2.380819641818998207e+02
1.636800000000000210e+01 2.383438074506084376e+02
1.637600000000000122e+01 2.384730349898700297e+02
1.637999999999999901e+01 2.385382786532118189e+02
1.638200000000000145e+01 2.385705760745868247e+02
1.638299999999999912e+01 2.385870984217817750e+02
1.638400000000000034e+01 2.384474722770664812e+02
1.651200000000000045e+01 2.398561554304124002e+02
1.855999999999999872e+01 2.728005969212190394e+02
2.265599999999999881e+01 3.387851909600867657e+02
2.457600000000000051e+01 3.696357944126248185e+02
2.867200000000000060e+01 4.354450129123251827e+02
3.071999999999999886e+01 4.690056060641181830e+02
3.084799999999999898e+01 4.704593786508048652e+02
3.174399999999999977e+01 4.854353801887154987e+02
3.225600000000000023e+01 4.938909400523698423e+02
3.251200000000000045e+01 4.980075053537839267e+02
3.264000000000000057e+01 5.000868221308664943e+02
3.270400000000000063e+01 5.011365033606743964e+02
3.273600000000000421e+01 5.016575788123118400e+02
3.275200000000000244e+01 5.019233496114356967e+02
3.275999999999999801e+01 5.020554817946831463e+02
3.276400000000000290e+01 5.021227878589706961e+02
3.276599999999999824e+01 5.021553889241222350e+02
3.276700000000000301e+01 5.021721453564387048e+02
3.276800000000000068e+01 4.988219943637814140e+02
4.723199999999999932e+01 7.346024863668062608e+02
4.723300000000000409e+01 7.295345079407561570e+02
4.723400000000000176e+01 7.295504030376105220e+02
4.723600000000000421e+01 7.295830073975375853e+02
4.724000000000000199e+01 7.296480483726409147e+02
4.724799999999999756e+01 7.297738893515561358e+02
4.726400000000000290e+01 7.300275283180380939e+02
4.729599999999999937e+01 7.305304956417749054e+02
4.735999999999999943e+01 7.315293701319533284e+02
4.748799999999999955e+01 7.335436747673447826e+02
4.774399999999999977e+01 7.376125424785277573e+02
4.825600000000000023e+01 7.457305045598914148e+02
4.915200000000000102e+01 7.648268163151733461e+02
4.928000000000000114e+01 7.620183539862919133e+02
5.132800000000000296e+01 7.948157842132204678e+02
5.542399999999999949e+01 8.613630916537804296e+02
5.734400000000000119e+01 8.958619513990124688e+02
6.143999999999999773e+01 9.601662491687893635e+02
6.348799999999999955e+01 9.936295821314124623e+02
6.361599999999999966e+01 9.954793843162478879e+02
6.361700000000000443e+01 9.959791939454153180e+02
6.361800000000000210e+01 9.959947591474483488e+02
6.362000000000000455e+01 9.960265022970706923e+02
6.362400000000000233e+01 9.960900900595443090e+02
6.363199999999999790e+01 9.962153640315373195e+02
6.364800000000000324e+01 9.964645066312950803e+02
6.367999999999999972e+01 9.969623808931064559e+02
6.374399999999999977e+01 9.979457456195959821e+02
6.387199999999999989e+01 9.999230620893940795e+02
6.412800000000000011e+01 1.003903686507968814e+03
6.451200000000000045e+01 1.010007452202829882e+03
6.464000000000000057e+01 1.011829388784040930e+03
6.502400000000000091e+01 1.018536755145134521e+03
6.528000000000000114e+01 1.022738363148106146e+03
6.540800000000000125e+01 1.024849582225200720e+03
6.547200000000000841e+01 1.025903330339802778e+03
6.550400000000000489e+01 1.026427075209372560e+03
6.551999999999999602e+01 1.026689903302583843e+03
6.552800000000000580e+01 1.026823795269767288e+03
6.553199999999999648e+01 1.026893209029090940e+03
6.553400000000000603e+01 1.026927048766316148e+03
6.553499999999999659e+01 1.026943776251209783e+03
6.566400000000000148e+01 1.028048673709461582e+03
6.771200000000000330e+01 1.061012254254324944e+03
7.180800000000000693e+01 1.127800067306845449e+03
7.180899999999999750e+01 1.126173550004285062e+03
7.181000000000000227e+01 1.126189090899715666e+03
7.181199999999999761e+01 1.126220792270323727e+03
7.181600000000000250e+01 1.126283989609102719e+03
7.182399999999999807e+01 1.126407815573824337e+03
7.184000000000000341e+01 1.126655997722060420e+03
7.187199999999999989e+01 1.127152733335940866e+03
7.193600000000000705e+01 1.128131449067121139e+03
7.206400000000000716e+01 1.130100598623510450e+03
7.232000000000000739e+01 1.134049329988949466e+03
7.283200000000000784e+01 1.141881609263335122e+03
7.385599999999999454e+01 1.158247076501953416e+03
7.590399999999999636e+01 1.191290941628190922e+03
7.590500000000000114e+01 1.190033396820101188e+03
7.590600000000000591e+01 1.190048578853253275e+03
7.590800000000000125e+01 1.190079901726479875e+03
7.591200000000000614e+01 1.190142652143549640e+03
7.592000000000000171e+01 1.190265718708134955e+03
7.593600000000000705e+01 1.190512668585433858e+03
7.596800000000000352e+01 1.191009066278347746e+03
7.603199999999999648e+01 1.191989355462195817e+03
7.615999999999999659e+01 1.193961883635580307e+03
7.641599999999999682e+01 1.197882908142521046e+03
7.692799999999999727e+01 1.205655074393464020e+03
7.795199999999999818e+01 1.221942349195713177e+03
7.795300000000000296e+01 1.223634451971185626e+03
7.795400000000000773e+01 1.223649598627613159e+03
7.795600000000000307e+01 1.223680998116498813e+03
7.796000000000000796e+01 1.223743565117270919e+03
7.796800000000000352e+01 1.223866999256104464e+03
7.798399999999999466e+01 1.224114517292153323e+03
