# Ps Pf beta Deff
0.25 0.5 0.9841258141197474 0.08579331423322598
0.25 1.0 1.0412146956506705 0.11725287756754774
0.25 1.5 0.9675259604471063 0.3930579576924941
0.25 2.0 1.018020782214993 0.4799421979425736
0.25 2.5 0.99291981687394 0.9336221065199292
0.25 3.0 0.9827086803298521 1.4799964903789995
0.25 3.5 0.9671260718644382 2.2697520398523077
0.25 4.0 0.968332541739452 3.1306112506678407
0.25 4.5 1.0009695310008502 3.069186357566206
0.25 5.0 1.002155851364463 4.131972345513531
0.25 5.5 1.0136311733972814 4.65538947195943
0.25 6.0 0.9950396813224582 6.3161683612727595
0.25 6.5 0.9963565410443287 7.510552040059556
0.25 7.0 1.0130806315403784 7.634950720965517
0.25 7.5 0.9989161688157027 9.890849883000504
0.25 8.0 1.0237516440492385 9.697307913502081
0.50 0.5 0.9450490004230149 0.20114412797789477
0.50 1.0 0.9977445550579129 0.1896035852454597
0.50 1.5 1.0194493454094302 0.21716614930153783
0.50 2.0 1.0284492201983473 0.2950825984848717
0.50 2.5 1.0221987182538725 0.4506211315719072
0.50 3.0 0.9924503022321206 0.7956434788113667
0.50 3.5 1.0153349476829567 0.9260384998649334
0.50 4.0 1.0199673384379153 1.2687846167139958
0.50 4.5 1.0313122038015377 1.5226142780485283
0.50 5.0 1.0120480708223483 2.233746255075348
0.50 5.5 1.005801747567838 3.044966555927608
0.50 6.0 1.0351921943683977 2.9873406205881006
0.50 6.5 0.9820517316720941 5.626128505655784
0.50 7.0 1.0244714962147876 4.796770898630517
0.50 7.5 0.9854300041490505 7.74263443812296
0.50 8.0 1.0306062505829063 6.353108490714988
0.75 0.5 0.9983790086541752 0.21244995381906526
0.75 1.0 0.9654628705419386 0.3129729337527789
0.75 1.5 0.9935216052450039 0.3142437626053079
0.75 2.0 1.0132003289754257 0.34121289752861156
0.75 2.5 0.9924159257990595 0.49266212983281055
0.75 3.0 1.00305104344332 0.576378694962771
0.75 3.5 0.9595705467593212 0.9682416171387619
0.75 4.0 0.979135302403333 1.1219518712750196
0.75 4.5 0.9581741197811685 1.72640605075701
0.75 5.0 0.980627995553904 1.8694047385346386
0.75 5.5 1.0083247479376383 1.9582233170432584
0.75 6.0 0.979934821255362 2.9691978208877017
0.75 6.5 1.0115176650726265 2.8524270099570406
0.75 7.0 1.0003840055921032 3.7972455862686205
0.75 7.5 0.9807739652772567 5.130430900348031
0.75 8.0 0.9839753443624731 6.142580187369768
1.00 0.5 0.9922764913467059 0.3311052105815772
1.00 1.0 1.0009212099198233 0.2838176728145494
1.00 1.5 1.0287909480221409 0.2851912326523083
1.00 2.0 1.0142660559015237 0.3910345052613175
1.00 2.5 0.9909359718311666 0.5427237535079595
1.00 3.0 0.9915483524157034 0.6360348865428136
1.00 3.5 0.9649343655981685 0.9139878986394078
1.00 4.0 0.9942884587868626 0.8614186184526946
1.00 4.5 0.9875971614210044 1.1174930524349025
1.00 5.0 1.0007325828382232 1.1928366810874687
