# Ps Pf tauTTD tauBTD
0.25 0.5 171.8160839923657 5.780367975638958
0.25 1.0 155.66053532898655 5.980693357681364
0.25 1.5 134.59544114516243 6.647418151663538
0.25 2.0 133.99833398364797 7.782037668827976
0.25 2.5 134.41608864422972 8.518297114371547
0.25 3.0 130.40076863669884 8.183347604228134
0.25 3.5 126.0809649676735 8.659038371352679
0.25 4.0 125.63301077258598 9.619870448602873
0.25 4.5 132.06733448428363 10.228201041885471
0.25 5.0 125.90069249636305 9.875023243495015
0.25 5.5 120.63653035228702 9.623866032979585
0.25 6.0 129.17830063520168 9.57680022046851
0.25 6.5 121.0481366355759 9.931459094468003
0.25 7.0 122.3806883415116 9.733065859694188
0.25 7.5 151.51749171838975 10.315124200570256
0.25 8.0 122.6487266212777 10.323543056597302
0.50 0.5 247.42675109984677 2.3766226460608864
0.50 1.0 213.41878394308767 2.9699451639651175
0.50 1.5 176.85673938082581 3.531531737655068
0.50 2.0 154.13788765396598 4.193026323576492
0.50 2.5 152.76949592165977 4.494814019158833
0.50 3.0 143.97259829445935 5.235520903986486
0.50 3.5 143.51203943020863 6.006514913337079
0.50 4.0 138.0586914272355 6.056812063555444
0.50 4.5 127.19004765144051 6.625917622767313
0.50 5.0 122.3011456841958 6.869920270864049
0.50 5.5 130.84943365396737 7.14384820002185
0.50 6.0 132.35710384075517 7.454173960267764
0.50 6.5 125.9491170099946 7.147854758861275
0.50 7.0 118.46905200348245 7.665208281574312
0.50 7.5 114.09475049793697 8.562717243388184
0.50 8.0 116.08757394457841 8.319491611734698
0.75 0.5 344.5916550810334 1.4637858700555477
0.75 1.0 249.17694461235223 1.6685555890815165
0.75 1.5 204.3499253056605 2.013888350977067
0.75 2.0 195.09600995826074 2.3826078671772004
0.75 2.5 169.2306239559074 2.8790180606081788
0.75 3.0 162.22530718089803 3.209821159230229
0.75 3.5 153.7084590155606 3.731151240313036
0.75 4.0 139.8412019408001 3.782865158295523
0.75 4.5 137.05650893469306 4.325412706856775
0.75 5.0 138.37872717519807 5.317159178753385
0.75 5.5 134.5772900898092 4.905926548059002
0.75 6.0 130.2396475882452 5.695010252084542
0.75 6.5 129.73719753016601 5.762308024124097
0.75 7.0 122.73331670159898 5.866262883654795
0.75 7.5 120.07861140808566 5.991278917550877
0.75 8.0 119.92057837074903 6.3077874319565375
1.00 0.5 461.50855304053067 1.1387214612215373
1.00 1.0 334.19556033321896 1.2767872702498655
1.00 1.5 255.2617237446327 1.4340449865616962
1.00 2.0 217.86731161168038 1.6550317885231765
1.00 2.5 195.27754406963035 1.8414702896548787
1.00 3.0 177.8676367360704 1.9932226841891276
1.00 3.5 158.43053598489664 2.3193925486516465
1.00 4.0 151.93511107194666 2.560323224829271
1.00 4.5 151.13816456105923 2.8656955047517085
1.00 5.0 148.90048625283887 3.172750772984038
1.00 5.5 150.96941951561234 3.6013796761287464
1.00 6.0 132.74598355407858 3.8001629984216545
1.00 6.5 134.91321756875382 4.2182306557150175
1.00 7.0 135.4448117280542 4.122142167568504
1.00 7.5 128.0116145245883 4.715676838610267
1.00 8.0 128.61213503338666 4.9651050252547435
1.25 0.5 605.3638121611459 0.8813911637244493
1.25 1.0 382.67683845450745 1.0130332868119847
1.25 1.5 284.59462928888365 1.066796194816997
1.25 2.0 247.08827874787679 1.212348084770735
1.25 2.5 214.851460342313 1.284693845832201
1.25 3.0 205.28616160628815 1.4716331116967947
1.25 3.5 199.00290705340782 1.6717801906981091
1.25 4.0 171.1016754752323 1.8194236362194165
1.25 4.5 162.47348307967212 2.0038914549493327
1.25 5.0 154.4149391306483 2.3634589711692424
1.25 5.5 149.5403601322695 2.6152595761967254
1.25 6.0 146.2832449682962 2.7884113351272872
1.25 6.5 134.09840675054565 3.0037657435087417
1.25 7.0 132.8033005756287 3.101706494432651
1.25 7.5 137.19552632377133 3.403369272276792
1.25 8.0 131.2442475292196 3.6693353325187137
1.50 0.5 665.8073929013904 0.7185267985469739
1.50 1.0 432.17974336016994 0.8256068007087217
1.50 1.5 331.56680896309706 0.9067083096001411
1.50 2.0 272.7603035147526 0.9459844057343483
1.50 2.5 246.1630638046956 1.0700357249730261
1.50 3.0 212.4026040207985 1.1720577144337314
1.50 3.5 193.20909044217643 1.2465433237283283
1.50 4.0 182.20234126857076 1.3659637471412134
1.50 4.5 174.6793799207746 1.536011286147623
1.50 5.0 165.79344713928796 1.6649018731767267
1.50 5.5 166.11125996519974 1.8544903179922352
1.50 6.0 147.90507000927292 2.0045960205247497
1.50 6.5 148.51939476828943 2.466905040530383
1.50 7.0 150.82478662768116 2.290894455143405
1.50 7.5 137.8569581677308 2.6332459996944366
1.50 8.0 134.07333381233664 2.758455624056173
1.75 0.5 717.2470913510414 0.6322827814136232
1.75 1.0 468.4424599688507 0.7262737073465528
1.75 1.5 370.17869422472415 0.7488090581773834
1.75 2.0 294.3069715671089 0.7948918192610086
1.75 2.5 260.6421461429515 0.8955336027854381
1.75 3.0 222.91222310553908 0.9649253359451575
1.75 3.5 226.35471174117163 0.9993969848973221
1.75 4.0 205.7257755701428 1.0654873053416805
1.75 4.5 185.28612975577852 1.2170792432846953
1.75 5.0 178.59072656542597 1.2848793671349792
1.75 5.5 178.12351285194868 1.4307277410029204
1.75 6.0 169.9788351506707 1.5435261593217475
1.75 6.5 157.8325335129318 1.6593153247615076
1.75 7.0 148.0523263327803 1.790171562369793
1.75 7.5 139.51691199886687 2.0095938168293803
1.75 8.0 142.5326892794015 2.069390121606283
2.00 0.5 819.7238674471552 0.6058733492218382
2.00 1.0 518.2533848118828 0.6202890064344112
2.00 1.5 368.2556325271644 0.6608763807675643
2.00 2.0 309.11820493523504 0.7334313546922546
2.00 2.5 285.96247690339914 0.7626393372755769
2.00 3.0 241.5775527822082 0.8385877201636615
2.00 3.5 220.14794841782083 0.8990598010765568
2.00 4.0 204.4284433104536 0.9187634794498633
2.00 4.5 200.32482721735857 1.0107595702256198
2.00 5.0 181.06940569697056 1.0393193494668578
2.00 5.5 177.74282452106726 1.1554104600005666
2.00 6.0 165.98761045557558 1.1700301057396703
2.00 6.5 171.08898759626473 1.332091155668229
2.00 7.0 154.918946306649 1.4647354108739608
2.00 7.5 160.89832369981778 1.4933902107332524
2.00 8.0 150.37678634627028 1.6424771878682798
2.25 0.5 906.7128231422962 0.5337648596265703
2.25 1.0 513.6710955800188 0.5548953758587449
2.25 1.5 387.1877554041159 0.6068861962959812
2.25 2.0 314.73637154798917 0.6186980087519568
2.25 2.5 297.9834698074072 0.6645346830174915
2.25 3.0 253.66781231650677 0.7137049707048667
2.25 3.5 238.76796671207077 0.7560755837131752
2.25 4.0 222.05464251873482 0.813778988682103
2.25 4.5 210.9987661873431 0.8772766596180517
2.25 5.0 187.91447643632287 0.9050902177202939
2.25 5.5 182.57347884615595 1.0046806539664745
2.25 6.0 173.49508395413832 1.0252806778259038
2.25 6.5 165.7773039646537 1.0796860662098726
