lp_w,Pf_Ps,alpha,beta,trap_frac,mean_vx
0.25,0.125,1.1333761189695128,1.019327175182224,0.11134444444444444,-0.02102669070280397
0.25,0.25,1.3750285056447993,1.050536413834383,0.11207777777777778,0.05730386026177179
0.25,0.375,1.5536022547996973,1.0452834980066656,0.1116888888888889,0.06992591308254477
0.25,0.5,1.6330440714964913,1.0610837625720744,0.11001111111111112,0.05513035755491303
0.25,0.625,1.7517439582625434,1.0290287827697553,0.1116111111111111,0.07666176866274947
0.25,0.75,1.8128009236816531,1.0440961457034956,0.11266666666666666,0.07800215094108419
0.25,0.875,1.8442923593407528,1.0853993105667648,0.1106111111111111,0.13440697887685588
0.25,1.0,1.8666135351346247,1.074315794777669,0.11042222222222223,0.12844285816357984
0.25,1.125,1.8679952689729333,1.0145742469133938,0.11026666666666667,0.14858187078525084
0.25,1.25,1.895852739882123,0.9615866655065967,0.11025555555555555,0.17272703249055563
0.25,1.375,1.9115827799797176,0.9802025424213823,0.11163333333333333,0.18348866011887133
0.25,1.5,1.9152200372095216,0.9989358890854555,0.11024444444444445,0.22341885215707913
0.25,1.625,1.9239660600715272,1.0548256875330688,0.11115555555555555,0.23443029080261946
0.25,1.75,1.919812902553204,1.0368297256834962,0.1102,0.2340124545374183
0.25,1.875,1.9434965505531692,1.0384694872140503,0.11103333333333333,0.2771465469458762
0.25,2.0,1.9370884037883926,0.9890281104513277,0.10836666666666667,0.3016034068553223
0.5,0.125,1.1244950225600914,1.016809749541602,0.18847777777777777,0.01667943282887049
0.5,0.25,1.3565069372314194,1.078738924514606,0.19194444444444445,0.05367530361786805
0.5,0.375,1.5068499445046024,1.0170032137522245,0.19283333333333333,0.06479289341968308
0.5,0.5,1.6374880729485741,1.0604110638479702,0.19085555555555556,0.08823065587482251
0.5,0.625,1.7202927866419087,1.0095386330228746,0.18974444444444444,0.13106968829850235
0.5,0.75,1.7993104507544286,1.0692400066040988,0.18768888888888888,0.17406327361416396
0.5,0.875,1.7888090922295237,1.0150721064597794,0.19056666666666666,0.17691346387376788
0.5,1.0,1.8365683452965296,1.0273718394322975,0.18952222222222223,0.22086262404226953
0.5,1.125,1.8594838794117128,1.022548754952848,0.18895555555555554,0.2521141995374351
0.5,1.25,1.8658949883614866,0.993391733335051,0.1878,0.2647377752697822
0.5,1.375,1.8815707070982568,1.0189004218136224,0.18934444444444445,0.2862973960755601
0.5,1.5,1.886862629593606,1.008999031316616,0.1897888888888889,0.32495468719755755
0.5,1.625,1.8944919375065739,1.0485125298454323,0.19076666666666667,0.37086512116519554
0.5,1.75,1.9069067926280436,1.0221516086208389,0.19036666666666666,0.3866527915765226
0.5,1.875,1.9130464411649672,1.0659215992478395,0.18812222222222222,0.38444262319638545
0.5,2.0,1.9098182599089604,1.0042526256993842,0.18786666666666665,0.43853084753231
0.75,0.125,1.117739713245354,1.0376081247541336,0.24432222222222222,0.04055860761278018
0.75,0.25,1.2643452978832628,1.0362415320884875,0.24588888888888888,0.0335047620482959
0.75,0.375,1.411292605964354,0.9797046816676213,0.24182222222222222,0.15895220927677522
0.75,0.5,1.5637928620658923,1.0112279193690032,0.24403333333333332,0.13341030065736392
0.75,0.625,1.665412415137428,0.9963364517097292,0.24145555555555556,0.17970924604606237
0.75,0.75,1.7308449209709282,1.08906354065571,0.2438,0.18801150441971873
0.75,0.875,1.7342548556422133,1.061207741453531,0.24086666666666667,0.253159800342608
0.75,1.0,1.7747331069201435,1.026566160569948,0.24285555555555555,0.27399994897358926
0.75,1.125,1.8203947857067215,1.0145644762038888,0.2401888888888889,0.3271478237215995
0.75,1.25,1.8399160677674367,1.0399177552945311,0.24285555555555555,0.3534906383962846
0.75,1.375,1.844410393802515,1.0304150264450973,0.24188888888888888,0.359988588167555
0.75,1.5,1.8562014773666968,1.073307600632829,0.24301111111111112,0.4069448709281234
0.75,1.625,1.8857971126440063,1.030032200678946,0.23943333333333333,0.46041733327527834
0.75,1.75,1.881534481961157,0.9806191914614063,0.24037777777777777,0.48126510122060345
0.75,1.875,1.8930645623395854,1.0412777177580168,0.24163333333333334,0.504953293262879
0.75,2.0,1.8825260953939504,0.9791619710549225,0.24066666666666667,0.5587909433434782
1.0,0.125,1.0949915906304817,1.0398624118533812,0.28107777777777776,0.00882325913119409
