# G = 1.0
lp_w,Pf_Ps,alpha,beta,D_eff,mean_vx
0.25,0.125,1.117813271030114,1.0306258841818252,0.03562617846056984,0.02005464370713404
0.25,0.25,1.2505660769809865,0.9931206375350526,0.042011615387069025,0.036238151729882144
0.25,0.375,1.4347318446730892,1.0279723507476823,0.03769449299497152,0.02343935868561337
0.25,0.5,1.5611697267343176,1.047698872580445,0.03602960322364769,0.05176327226268046
0.25,0.625,1.6801143379892303,1.0914105956828786,0.03242556779930924,0.07858231609331788
0.25,0.75,1.7057282359983286,1.0415031457363664,0.040177496315417706,0.09780711559142803
0.25,0.875,1.741030549346739,1.0452377475772365,0.040417920670938585,0.12582516603311847
0.25,1.0,1.782483986070667,1.0374162397247788,0.04247723898653329,0.11828444572939398
0.25,1.125,1.808500536603874,1.0197533841675328,0.04483317220554481,0.10625534876630904
0.25,1.25,1.8368205562796707,1.039788350250544,0.048539802229995294,0.12464183099024002
0.25,1.375,1.8574630379629453,1.0940709974469027,0.04257413840724029,0.1632084601693442
0.25,1.5,1.8464310431400874,1.0749370018374036,0.0490162418888155,0.20820624053050257
0.25,1.625,1.8814850253065636,1.0400201008449632,0.0553475608052997,0.17820075412556327
0.25,1.75,1.8654982002599716,1.0338760866392884,0.060674043237267924,0.22733117618080595
0.25,1.875,1.876542285032784,1.0217034278337676,0.06312944520406581,0.2224371069522557
0.25,2.0,1.8928588371023611,1.0927636725598189,0.05437528607868192,0.26385635307456273
0.5,0.125,1.0228274383107923,1.0242505682028848,0.1161502075285143,-0.016060857966256923
0.5,0.25,0.9667214895846505,0.950702248352022,0.15022364895280962,0.010251552359962442
0.5,0.375,1.0463249842926656,1.0164246082690842,0.11569340792293216,0.022782951754470832
0.5,0.5,1.0511914677029874,0.9750168324648532,0.1434975459443263,0.025241762668937014
0.5,0.625,1.2817781930096876,1.061689727274143,0.09967328896662109,0.03406691961189973
0.5,0.75,1.3202018430042979,0.9782982383706202,0.14182508398082855,0.08063443294581804
0.5,0.875,1.4313011168640297,0.9690029993673889,0.14292066911202123,0.07667685490967052
0.5,1.0,1.5507779558028503,1.013024163033915,0.1260418223318634,0.10124133882317672
0.5,1.125,1.6524299735796943,0.9731749242242501,0.14871861755420912,0.12174987450310948
0.5,1.25,1.7528987389347672,1.0625132396984525,0.11273178724825307,0.17580732723505618
0.5,1.375,1.7994524810880543,1.0101158162794834,0.13712348027175209,0.21357013993899013
0.5,1.5,1.8419918627581915,1.013895498911833,0.1540439958184318,0.268389792618873
0.5,1.625,1.853329436384234,1.0041554895271472,0.15325629045835584,0.2813196351975504
0.5,1.75,1.8570708417813968,0.9837547824408344,0.17758189313101477,0.30740770586230826
0.5,1.875,1.9033680699050006,1.0057605638077316,0.16839781476606208,0.3669843668472431
0.5,2.0,1.9186595178201395,1.0055011668209766,0.17908904967554137,0.4298785488500124
0.75,0.125,1.0842504477645827,0.9974179104285495,0.2656749910578841,0.000602685201288968
0.75,0.25,1.18980801927706,0.9929481148624434,0.26619570324861996,-0.055125676063562584
0.75,0.375,1.3279901916439936,1.0334725279794923,0.2256498953995464,-0.08682146086636341
0.75,0.5,1.3569120287227172,1.0372601922589637,0.19928880051128767,-0.08602756667724015
0.75,0.625,1.2504052730444322,1.002520579383597,0.22139053375603174,-0.013732342691988421
0.75,0.75,1.049066430287164,0.9630107440520106,0.26118822173451567,-0.042710514779543324
0.75,0.875,0.9521829629778549,0.9534806066646887,0.24244750361831505,-0.0010045604165908565
0.75,1.0,1.2219262154906163,1.022611564236646,0.1979785993949545,0.046231365730853145
0.75,1.125,1.4730512062699304,1.0376661222140018,0.19165258371835267,0.11494178780539421
0.75,1.25,1.6058213041048024,0.9953255887344166,0.2422604056605438,0.1478372195580683
0.75,1.375,1.7109992872227249,0.9501612459275731,0.28522479581737176,0.2308219820049063
0.75,1.5,1.8272721888920274,1.0187704091000584,0.23151748621093324,0.29196798983531996
0.75,1.625,1.8426776711293047,1.0171381201907461,0.2440393269786014,0.3332501943384006
0.75,1.75,1.869430278570214,1.0120800854214844,0.2755020751673706,0.40869736285008995
0.75,1.875,1.8961853459489633,1.0073295722154638,0.2849109499811684,0.4565252932671392
0.75,2.0,1.922130682938027,1.0075002135845028,0.2868900579088503,0.5660976896797391
1.0,0.125,1.2960716188116634,1.0314145223240647,0.4392280371532195,-0.09460600067548619
1.0,0.25,1.6209924766053438,1.0336399968390342,0.38431422743763316,-0.14842314537969353
1.0,0.375,1.751814415745286,1.0004212406387363,0.3579125409182165,-0.20075005740740323
1.0,0.5,1.7703764228746557,1.0054701121664187,0.2994861270636597,-0.2248230926553413
1.0,0.625,1.7762865295404797,0.9727805496020987,0.3090830315049433,-0.2054200647612422
1.0,0.75,1.6543723651803317,0.9791791490731224,0.2965420025916298,-0.18055199957547072
1.0,0.875,1.4890438092367178,0.9827403553952507,0.29180935566928906,-0.10931747475298824
1.0,1.0,1.002934974085788,0.9111413772971533,0.38262377578192525,-0.05068113240051785
1.0,1.125,1.0207474200227027,0.9531093704518977,0.3682680994620974,0.05072349498376592
1.0,1.25,1.4050588957767542,1.0041224785433696,0.29540960601736566,0.11547642130746358
1.0,1.375,1.678929676155709,1.0379438616822925,0.28167554764510544,0.20539508468744072
1.0,1.5,1.7879514766143667,1.0125655099823205,0.3210563254782437,0.29056601491480516
1.0,1.625,1.86065423652078,1.0725564691007756,0.2877803767922412,0.3472893211655387
1.0,1.75,1.876482788343264,1.0403752595056934,0.33904279533230364,0.46821464120789824
1.0,1.875,1.9231123543288426,1.04245108210096,0.3410442015314155,0.5548515695572057
1.0,2.0,1.9213471899110723,1.0721999209042015,0.3342429390421161,0.6534955095346365
1.25,0.125,1.4935982759970046,1.0192878833688357,0.6369437298772398,-0.18989690532263276
1.25,0.25,1.838669526916621,1.0153447100992417,0.5160084540495421,-0.30365392054717105
1.25,0.375,1.9012521251195977,0.925073745546975,0.567450300090947,-0.3814015240701668
1.25,0.5,1.9476945118465068,0.9904099497904675,0.3616908385039455,-0.4069203973462845
1.25,0.625,1.941436644663051,1.005008373403137,0.32697358061737297,-0.38407040513194785
1.25,0.75,1.8984617126702918,1.0225453971830678,0.30274995962039375,-0.3033601971439611
1.25,0.875,1.805559799708439,1.0091880347508255,0.33009577880382596,-0.2442382053878537
1.25,1.0,1.5480842023729782,0.9252978595340255,0.4586756676380462,-0.10562250228328685
1.25,1.125,1.1099309494880107,0.9806318285729164,0.3994979889098829,-0.060728921472109405
1.25,1.25,1.148499752374955,1.0711587931384972,0.30907837170534747,0.03424000898316019
1.25,1.375,1.5236810389058664,0.9870484888739349,0.4262852474906816,0.15942907824606137
1.25,1.5,1.72617969036039,0.9882152221606264,0.44101621538988106,0.2681066596013931
1.25,1.625,1.8204756282144716,1.073977364631246,0.34378355300109087,0.36433198134649447
1.25,1.75,1.8462619206071522,1.0224069373647693,0.4622958181838957,0.5021293948262217
1.25,1.875,1.8936557521857251,0.997673434398189,0.5840869220459165,0.6096310363352937
1.25,2.0,1.9110454339700365,0.9868472442970568,0.5614812213568025,0.7169894946984054
1.5,0.125,1.6606900369671236,1.0131089907091018,0.8874844807983853,-0.26998552898445805
1.5,0.25,1.9376948549414308,0.9844963417520411,0.6935399271449237,-0.4715708818721557
1.5,0.375,1.983345045053518,1.047972180836476,0.39236983291613386,-0.5679242799543485
1.5,0.5,2.0125404484743457,0.944222276845076,0.4367436431004972,-0.5794687408037845
1.5,0.625,1.9961905992084283,0.9775460413181829,0.3565077559016583,-0.5519274422258824
1.5,0.75,1.9773875095944173,0.9724915784996009,0.3723576507361062,-0.47060937607327796
1.5,0.875,1.9508260036728966,1.006028371978677,0.3413714377111978,-0.3795809283748568
1.5,1.0,1.8424058054476558,1.0106151961396257,0.3570672651461571,-0.26674366454770115
1.5,1.125,1.5842628326898085,0.9831947255615833,0.4470540876365865,-0.17296233782257814
1.5,1.25,1.045364230285199,1.0004288940050077,0.4208828745884229,-0.025389713769330642
1.5,1.375,1.1904142089694563,0.9523851626516182,0.5813824230967777,0.08749007078108748
1.5,1.5,1.5979291530111654,1.008855756708422,0.49553061798237835,0.23144478401074786
1.5,1.625,1.773663503727192,1.0076782062179495,0.5543306470545238,0.35312317756476425
1.5,1.75,1.8770082787620046,1.0615333587249463,0.478127764311201,0.502052387973008
