# G = 0.5
# D = 0.01
Ps,Pf,alpha,beta,D_eff,mean_vx
0.25,0.5,1.9125900380690082,1.0180646794988328,0.061327191542421014,1.0349646435869357
0.25,1.0,1.9503136714026232,1.0328610050662703,0.11328951526286364,2.3466867697866762
0.25,1.5,1.9544168535178112,1.0817838424039383,0.1765254779249962,3.8049732248970196
0.25,2.0,1.9509378017104488,1.1273049757916682,0.2703129914793107,5.1790871564743055
0.25,2.5,1.9445732085486702,1.1137276406901604,0.49629089408185184,6.542639411567398
0.25,3.0,1.9427137321930474,1.1450684893619079,0.6865216573425461,7.942777302952403
0.25,3.5,1.93935157447749,1.1712425357370793,0.8583930431766398,9.385748521911921
0.25,4.0,1.9397968759686566,1.0618822700630868,1.7295028293728274,10.75211198492075
0.25,4.5,1.9305255034486029,1.0999207636255957,2.012855661036466,12.039494943227089
0.25,5.0,1.9407761818881781,1.1768260063781615,2.0616236259815555,13.171006739309966
0.25,5.5,1.9390548530487541,1.1599369317027346,2.5012300248644266,14.69070804276149
0.25,6.0,1.9373672349056732,1.1716527690361342,2.9179658376228472,16.128736698139306
0.25,6.5,1.9320293069484853,1.1400826038435548,3.9731607066486743,17.343681389128097
0.25,7.0,1.9330828162984346,1.1397442430439462,4.914928753239589,18.685384336604407
0.25,7.5,1.935473422468684,1.1266580576181424,5.551100715191719,19.89006454903295
0.25,8.0,1.9255622894784368,1.0919010812545284,7.336273215205908,21.22263589161532
0.5,0.5,1.7189638037681676,1.0356969391363697,0.09899308402595676,0.2765460046457846
0.5,1.0,1.9499282508107387,0.9917903133081812,0.1385518020029219,0.8791012383478178
0.5,1.5,1.9728615277634245,1.0187274316563641,0.16078635327986376,1.6375303848669234
0.5,2.0,1.982587482869386,0.967344717464423,0.25076854696013595,2.4710273640279756
0.5,2.5,1.9845576876707918,1.0705990203558353,0.2745629572465986,3.1996478420692167
0.5,3.0,1.9740654969729126,1.06818225645085,0.44859318052155844,3.9106332705462967
0.5,3.5,1.9615931878749409,1.0979324645931532,0.5975036205177724,4.644836145608113
0.5,4.0,1.971376470355474,1.1242660419528776,0.7424960054199622,5.301156700488456
0.5,4.5,1.970304691572041,1.0626313607072269,1.3965363778086084,6.018155042233199
0.5,5.0,1.9601919029902306,1.1082974430765395,1.5986681954207458,6.664627774567649
0.5,5.5,1.9568183639786134,1.0936422367810785,1.9914014891811145,7.34116453438297
0.5,6.0,1.9537855563721533,1.0677768560667387,2.812724163473586,8.157814812068063
0.5,6.5,1.9540289496695746,1.0825269373577278,3.460004000075345,8.669127906598172
0.5,7.0,1.9437199521117252,1.0952864302278627,3.954602025998965,9.253236702929147
0.5,7.5,1.9455294668795258,1.1113481898008526,4.408843073853727,10.063060177308758
0.5,8.0,1.9389801354393976,1.134411119082563,4.821524171375727,10.73588961884101
0.75,0.5,0.9635550062533982,0.9618509164149198,0.22897868906212265,-0.038746279729565646
0.75,1.0,1.8540118103374401,1.071189128937491,0.1387522779979953,0.3619461751567031
0.75,1.5,1.9592966416973518,1.052726874117454,0.1525386449682984,0.8538768022728802
0.75,2.0,1.9794735898092588,1.0396380599899993,0.17719654974707888,1.3988502384776673
0.75,2.5,1.9888406791824544,1.0580911197918144,0.1993732419212811,1.9624649644984933
0.75,3.0,1.9872572653560876,1.0144826582416482,0.3007190018062421,2.4920688985797566
0.75,3.5,1.987071825453051,1.0331606763153882,0.3701413635990017,2.9925797916618504
0.75,4.0,1.985475623017535,1.0056093904211212,0.571073681422778,3.4416425271559503
0.75,4.5,1.9827669478489531,1.0388319407366207,0.7304137451733703,3.942558469720917
0.75,5.0,1.9830130418212377,1.0415732272306741,1.0474849768058634,4.457651424153859
0.75,5.5,1.9819734902778259,1.010921679380624,1.5034381136908763,4.925627262384868
0.75,6.0,1.9766538216417935,1.0478102936979352,1.9025780208082388,5.392745560490593
0.75,6.5,1.963076802194555,1.0308346583147987,2.5483159478179904,5.828086277878545
0.75,7.0,1.9705026062545539,1.0801437531583498,2.7242253000977192,6.337076549302856
0.75,7.5,1.9634587449966001,1.063724955011233,3.521199210287608,6.750354643110455
0.75,8.0,1.9574950895835317,1.0701506984354054,4.102890214156499,7.20283341905535
1.0,0.5,1.6420281333645073,0.9997035458868889,0.3212776328594195,-0.15090171092295684
1.0,1.0,1.2090076253957782,1.0595626824985267,0.17637585595495023,0.023519373071567873
1.0,1.5,1.9079738167509415,0.9564111645589846,0.2732712993459668,0.4300865167559239
1.0,2.0,1.9680165027071364,1.0568867764664132,0.19133854486547178,0.8616496387742331
1.0,2.5,1.982579301078503,0.9867749555767871,0.2549437106074467,1.261565714616179
1.0,3.0,1.9901774269066859,0.9647229479516682,0.28907499752389243,1.6764096220294051
1.0,3.5,1.988083412975668,0.9864176072807302,0.29661630966926417,2.0964408604562186
1.0,4.0,1.9892309269491328,1.0290952639658641,0.3327655904358948,2.509417844853375
1.0,4.5,1.991110833754163,1.0194036262446218,0.44740761413105334,2.9302682334752217
1.0,5.0,1.9872574352128058,1.0446706966204602,0.5284024945063703,3.290932992533923
1.0,5.5,1.9870267338404575,1.0360171768104414,0.7786687134640323,3.654751658144573
1.0,6.0,1.9868138797897545,1.0563361517464096,1.0183159315920374,4.043744716888604
1.0,6.5,1.9824961039038398,1.0211729676591654,1.320813566795278,4.412506005652779
1.0,7.0,1.9753166001596736,1.0455853239609783,1.8011612381821909,4.729492948967093
1.0,7.5,1.9786211170250345,1.112688992292172,1.8336330521943074,5.090997775906821
1.0,8.0,1.9772136724994176,1.081099087123337,2.6298449037168483,5.479567911037401
1.25,0.5,1.8565219745061712,0.9918153197825812,0.4307433266959,-0.2603027527050079
1.25,1.0,1.7408741536665304,0.9899169452252458,0.27538961644643056,-0.15272398229743755
1.25,1.5,1.5997374063291319,0.9976369319397276,0.2540326845000661,0.13664084547189337
1.25,2.0,1.9302136441371565,0.9684273625642514,0.29230171431399044,0.44428279767295137
1.25,2.5,1.972950231639242,0.9820524512787344,0.30149712112232463,0.813017222822751
1.25,3.0,1.9812333028418587,0.9385879299317628,0.35852921756411693,1.1525833331878421
1.25,3.5,2.0008838683277275,1.0279525911228633,0.2677818966742409,1.549293289266209
1.25,4.0,1.990871718546495,0.9927733366037594,0.31991604936562645,1.874403391374198
1.25,4.5,1.998001809094789,0.9718306437926627,0.37152796669783333,2.2160150035430024
1.25,5.0,1.9959520728194404,0.9937877596757337,0.43341619130935016,2.5708974673166645
1.25,5.5,1.9979248591003684,1.0506617431524836,0.43489017461408486,2.850609310261676
1.25,6.0,1.994212041679056,1.0383956573448294,0.5650787169863,3.190184156515401
1.25,6.5,1.9869120203957589,1.0226583598493357,0.823527371393494,3.466743748314336
1.25,7.0,1.9885924646327482,1.0348571385354288,1.0244318134429853,3.786767876814114
1.25,7.5,1.9878809941956603,1.0421189558361008,1.361332233314714,4.07955488260319
1.25,8.0,1.9850455402557337,1.044638519509118,1.623284065435257,4.355360051750505
1.5,0.5,1.9209882397338738,0.9793115398652434,0.5988707614834025,-0.299235996185651
1.5,1.0,1.97439127208109,1.0178181588884867,0.2902928425029332,-0.26482899449583325
1.5,1.5,1.4303214966408815,0.9719815750414742,0.3008968183022845,-0.05985954577548553
1.5,2.0,1.7993388970507187,1.0491392302099922,0.23283955296322026,0.20081131689010437
1.5,2.5,1.9384328877258996,0.9096651839077877,0.4187078981628444,0.4789196925650472
1.5,3.0,1.9766656934035505,0.9715468330586481,0.34794715618632743,0.7850445298434746
1.5,3.5,1.9929663828034478,1.0004982315496886,0.32002722345002566,1.0832702373171574
1.5,4.0,1.989093746472745,0.9954319003022128,0.32842296073255717,1.4050021199821419
1.5,4.5,1.9927064093225542,1.0052516338942303,0.33672000244809125,1.7044223822070537
1.5,5.0,1.9949057129100765,0.9937981797629482,0.3552084950684266,1.9992763312707078
1.5,5.5,1.9935115302242654,1.0128186938677715,0.37094260736160806,2.3134161270723
1.5,6.0,1.9989288363067055,1.0051332321356623,0.41026888470683015,2.577805227939154
1.5,6.5,1.9924908418228204,0.9817760383716195,0.6071978393660786,2.8425895578504914
1.5,7.0,1.9952387497021586,1.0487555964609108,0.5817302156606058,3.1185085624333624
1.5,7.5,1.9924780562699032,1.0143511868494413,0.8965255684191228,3.3559493902993034
