# G = 0.0
# D = 0.01
Ps,Pf,alpha,beta,D_eff,mean_vx
0.25,0.5,1.9175316092026982,1.0607747943228705,0.04636454279222753,1.0484689502802067
0.25,1.0,1.9565452179204443,0.9972915824524767,0.11130911374913956,2.521666651044069
0.25,1.5,1.962919150176242,1.0839490549592123,0.1604704172061458,3.8600394702525764
0.25,2.0,1.954108469523799,1.0658472158842165,0.3315361923599453,5.405636278975326
0.25,2.5,1.951115810224333,1.083723368590924,0.5139350306677641,6.612393655651914
0.25,3.0,1.9599903529854177,1.059512464325049,0.8547841677975585,8.06223712308199
0.25,3.5,1.9514799919635242,1.1242058102777828,1.0489170876531482,9.530890203575584
0.25,4.0,1.955091293070753,1.1646004136129555,1.1631070902796203,10.838804832723984
0.25,4.5,1.9437708091825707,1.1018535366318234,1.9782042028623215,12.099378692385892
0.25,5.0,1.9418777772155045,1.1146846606134257,2.4140811482084303,13.353768199780442
0.25,5.5,1.9421967056498814,1.1574768181068844,2.605247670102049,14.719445065935878
0.25,6.0,1.9329608868895665,1.1222594845572813,3.593795256698953,16.116978111747912
0.25,6.5,1.9271694937560884,1.1433470032862483,3.928275381585167,17.42127650513088
0.25,7.0,1.9358649471858111,1.1026777585897616,5.4219151690915295,18.86352610740581
0.25,7.5,1.9406582413751587,1.1294555178166186,5.5855576201549395,20.043573028337946
0.25,8.0,1.942712202395492,1.13894061078669,6.081797834840964,21.400272621039832
0.5,0.5,1.7521850540992177,1.0085531743586589,0.10290416707288191,0.3328510276566127
0.5,1.0,1.9510665206285218,1.0571913771232686,0.08138553188280633,0.9851527309621846
0.5,1.5,1.97773981090424,1.0023379941149095,0.12886323489306176,1.7818446787669142
0.5,2.0,1.9803089178666042,1.030660946722387,0.16872373892499734,2.4847569424649114
0.5,2.5,1.9824570191446502,1.042511428649905,0.2512894143523788,3.3056949254414643
0.5,3.0,1.9775796558000043,1.1214957211479364,0.304659611011432,4.061673033400879
0.5,3.5,1.970519899671205,1.030317557773518,0.6498561413170155,4.707924208756206
0.5,4.0,1.9739977748485806,1.0896505514689159,0.7533755815695323,5.3965318754760565
0.5,4.5,1.9790261696456937,1.0369394774062695,1.3308345998534827,6.148925185748028
0.5,5.0,1.9647327020524714,1.0881157635486272,1.6062861418930698,6.8225342930478625
0.5,5.5,1.9732608320149607,1.0825285330580068,2.0184116180694667,7.435248762779002
0.5,6.0,1.9567151679052779,1.136086446584688,2.1541120413724966,8.187318272621289
0.5,6.5,1.9604338271358912,1.110965964693601,3.0308061848703307,8.862160069045194
0.5,7.0,1.9562072908430261,1.1034943495198482,4.019589766277052,9.50449292897962
0.5,7.5,1.9517080130480937,1.1303807712638,4.14709010204028,10.28422303656188
0.5,8.0,1.9468048502032886,1.1588717381706324,4.463623929001231,10.89402044406747
0.75,0.5,1.0492809886898424,0.975947505701551,0.19863835102655245,0.05341817979399654
0.75,1.0,1.8814290818351358,1.0269097512041832,0.12728085951724372,0.3796828832763979
0.75,1.5,1.9647095179335723,0.980686330875288,0.1322174235823428,0.909843751192463
0.75,2.0,1.984286446384069,0.9938613753467589,0.14113054422144883,1.4550934137383622
0.75,2.5,1.9892237607449035,0.9624047892713425,0.17753091445549316,2.0164826695696276
0.75,3.0,1.9952902586482038,0.999104300865693,0.22969420474661292,2.5737802009851953
0.75,3.5,1.9917071314451005,1.0074451262051205,0.3086129771479396,3.0828170509463386
0.75,4.0,1.990610537688005,1.059222843607808,0.3908091544457586,3.630309194327188
0.75,4.5,1.979919469084182,1.1398829508772848,0.4417821130857636,4.1000343164681
0.75,5.0,1.983218030807438,1.0691945349654246,0.8045963359385645,4.543560157434208
0.75,5.5,1.9866305637321746,1.0364544552755297,1.3347758642386514,5.025773540390245
0.75,6.0,1.9813253753351452,1.12880131951661,1.3219674566603135,5.519277675736249
0.75,6.5,1.97525744999242,1.100487606638138,1.8260622120113505,5.98814268893576
0.75,7.0,1.9667325801549598,1.0437936767831364,2.9631798428138656,6.415849970940997
0.75,7.5,1.9709164402948067,1.1042531879121753,2.9618441137860576,6.887425924485227
0.75,8.0,1.9623349164069297,1.0826127174275597,3.7621199258288827,7.34088005550982
1.0,0.5,1.3986528072228583,0.9264406038436865,0.3833201530628767,-0.10320870848177233
1.0,1.0,1.5285445542673979,1.0127487940492546,0.1684646593618166,0.12051957750100942
1.0,1.5,1.9312226997916846,0.9773756469700661,0.17119189269303217,0.4941274567233531
1.0,2.0,1.9826462175951165,0.9537467110324683,0.1822835673605109,0.8932891179511744
1.0,2.5,1.993878697114914,1.037301222890505,0.12704968163844985,1.3027387033022324
1.0,3.0,1.9947595485207414,0.9645454569815777,0.1748491870561128,1.7734425325876981
1.0,3.5,1.9920576500790141,0.9856090462050954,0.20766211208988605,2.1933056840818193
1.0,4.0,1.9912388748026926,0.9945430782043893,0.24071442163585013,2.6188157601174957
1.0,4.5,1.9939899827379837,0.9843639675305411,0.3624169222014981,2.9736684222660728
1.0,5.0,1.9918412579820626,1.0208059666481761,0.46756581456725194,3.372685656560736
1.0,5.5,1.9912233211980186,1.0044741716421817,0.72313794311223,3.7474946102262443
1.0,6.0,1.9873988991603937,1.0559198441108184,0.8313126066460893,4.1196780517326586
1.0,6.5,1.9829626661345519,1.080530167820811,1.0809058881017195,4.487571431796867
1.0,7.0,1.9881837437676513,1.0411262322722246,1.6971203332415978,4.8327049802372555
1.0,7.5,1.9801760138051052,1.0885352654732756,1.8249073384018615,5.212217650472649
1.0,8.0,1.9795475067315373,1.1339198693117745,1.8730476432139398,5.552606257344573
1.25,0.5,1.71417736283381,1.0065958087452522,0.4205237457848532,-0.18428527987174909
1.25,1.0,1.4766944355056941,1.0368292580681107,0.19484842354683912,-0.0774443804915739
1.25,1.5,1.7889369150967402,0.9766439080374318,0.1957214583700288,0.1993332288054938
1.25,2.0,1.9638818392172785,1.020456756934851,0.16032521430203486,0.5010921038095377
1.25,2.5,1.9783580226619115,0.9441204336088239,0.21180815803516614,0.8815582009650189
1.25,3.0,1.994392209457809,0.957548786768051,0.18607236062653862,1.2342401963525027
1.25,3.5,1.9923862405614587,1.0371094202735442,0.13922871627513086,1.6147401540423165
1.25,4.0,1.992958052217655,1.0537507023114052,0.15585799610427314,1.9517630859008857
1.25,4.5,1.9964196312548108,1.051624142182414,0.17885766684428137,2.2787579605420882
1.25,5.0,1.9959690900167761,1.0372991027595724,0.22979139884615937,2.639207998884113
1.25,5.5,1.996211136669368,1.0634677220936952,0.3088741724725086,2.9362291684981403
