# G = 0.0
# D = 0.01
Ps,Pf,alpha,beta,D_eff,mean_vx
0.25,0.5,1.9178498576080072,1.0911002071101172,0.0547401574760677,1.1442200090692325
0.25,1.0,1.9225548133164025,1.0831091003322548,0.13325024165311647,2.228828218332113
0.25,1.5,1.9254793673213255,1.0312285349411954,0.31810979391934135,3.2912139017842423
0.25,2.0,1.921495529800898,1.0602024837797348,0.4993663467784344,4.357432550598633
0.25,2.5,1.9210696237331264,1.054931865261782,0.7472805049721948,5.619829296595168
0.25,3.0,1.9217372685349812,1.0481751357621871,1.1140870405175485,6.561514643121062
0.25,3.5,1.9207510832876369,1.0505071798270036,1.5453468227289575,7.807521223830789
0.25,4.0,1.942064314560717,1.058554884784803,1.807955442255017,8.907239805264355
0.25,4.5,1.9204611217882102,1.1130669091507899,1.8650590968121974,9.944538889494682
0.25,5.0,1.928978392446162,1.0284769656350743,3.196193249761489,10.976021777366524
0.25,5.5,1.9262643849918764,1.0240545830718937,3.9103175907010486,12.074781484156663
0.25,6.0,1.9297131694987846,1.1270933505794407,3.343658756145542,13.400053849562548
0.25,6.5,1.9343185667399925,1.1146883701061567,3.7539686315972127,14.395896422506638
0.25,7.0,1.9263555292544674,1.0226472441858245,6.545571683750685,15.515992260896256
0.25,7.5,1.9181429755744779,1.0737207523787038,6.0594150541677365,16.579398569786438
0.25,8.0,1.9309929250181495,1.057257368971668,7.488677415282658,17.652579707992665
0.5,0.5,1.824498047429858,1.0338101160985367,0.1421149312552027,0.45114673056940197
0.5,1.0,1.904908517320702,0.9980606215134652,0.2516510868809149,0.9048943647935944
0.5,1.5,1.9181385884307451,1.033462127118295,0.3111777534167163,1.3134623361640532
0.5,2.0,1.9151567298564922,1.033916599850669,0.45161007004377884,1.8053489523615476
0.5,2.5,1.9106350340241625,1.0218045577464347,0.7025128434974325,2.1752007828070314
0.5,3.0,1.914136688652325,1.029730446441031,0.9469801282063587,2.5905521906731965
0.5,3.5,1.9334221105003049,1.0516594546996636,1.1510047350306924,3.130903140632849
0.5,4.0,1.9201243556024312,1.0589595789328805,1.3788843861017792,3.5390659543836374
0.5,4.5,1.9167552972757875,1.0273705130718764,1.977613270191585,4.017565144830204
0.5,5.0,1.9218981532290986,1.007687821817316,2.604081587110239,4.404542953424721
